slugScore,namePlayer1,slugTeamPlayer1,namePlayer2,slugTeamPlayer2,namePlayer3,slugTeamPlayer3,idGame,numberPeriod,timeQuarter,descriptionPlayHome,descriptionPlayVisitor,timeRemaining,scoreAway,scoreHome,marginScore,Date
66 - 68,Jae Crowder,PHX,Frank Kaminsky,PHX,NA,NA,42000406,3,3:49,NA,Crowder 28' 3PT Pullup Jump Shot (11 PTS) (Kaminsky 1 AST),15.8166666666667,66,68,2,2021-07-20
NA,Giannis Antetokounmpo,MIL,NA,NA,Jae Crowder,PHX,42000406,3,3:29,MISS Antetokounmpo 5' Layup,Crowder BLOCK (1 BLK),15.4833333333333,NA,NA,NA,2021-07-20
NA,Brook Lopez,MIL,NA,NA,NA,NA,42000406,3,3:28,Lopez REBOUND (Off:2 Def:6),NA,15.4666666666667,NA,NA,NA,2021-07-20
66 - 71,Jrue Holiday,MIL,Giannis Antetokounmpo,MIL,NA,NA,42000406,3,3:17,Holiday 3PT Jump Shot (9 PTS) (Antetokounmpo 1 AST),NA,15.2833333333333,66,71,5,2021-07-20
68 - 71,Devin Booker,PHX,NA,NA,NA,NA,42000406,3,3:13,NA,Booker 2' Running Layup (10 PTS),15.2166666666667,68,71,3,2021-07-20
NA,Giannis Antetokounmpo,MIL,NA,NA,NA,NA,42000406,3,3:13,Antetokounmpo Violation:Defensive Goaltending (S.Foster),NA,15.2166666666667,NA,NA,NA,2021-07-20
NA,Pat Connaughton,MIL,Devin Booker,PHX,NA,NA,42000406,3,3:13,Connaughton S.FOUL (P2.T2) (S.Foster),NA,15.2166666666667,NA,NA,NA,2021-07-20
69 - 71,Devin Booker,PHX,NA,NA,NA,NA,42000406,3,3:13,NA,Booker Free Throw 1 of 1 (11 PTS),15.2166666666667,69,71,2,2021-07-20
NA,NA,NA,NA,NA,NA,NA,42000406,3,3:09,BUCKS Timeout: Regular (Full 3 Short 0),NA,15.15,NA,NA,NA,2021-07-20
NA,Brook Lopez,MIL,Bobby Portis,MIL,NA,NA,42000406,3,3:09,SUB: Portis FOR Lopez,NA,15.15,NA,NA,NA,2021-07-20
NA,Pat Connaughton,MIL,Khris Middleton,MIL,NA,NA,42000406,3,3:09,SUB: Middleton FOR Connaughton,NA,15.15,NA,NA,NA,2021-07-20
69 - 73,Giannis Antetokounmpo,MIL,Jrue Holiday,MIL,NA,NA,42000406,3,3:00,Antetokounmpo 1' Layup (35 PTS) (Holiday 9 AST),NA,15,69,73,4,2021-07-20
71 - 73,Frank Kaminsky,PHX,Devin Booker,PHX,NA,NA,42000406,3,2:45,NA,Kaminsky 2' Cutting Layup Shot (2 PTS) (Booker 2 AST),14.75,71,73,2,2021-07-20
71 - 75,Khris Middleton,MIL,NA,NA,NA,NA,42000406,3,2:36,Middleton 15' Driving Floating Jump Shot (11 PTS),NA,14.6,71,75,4,2021-07-20
NA,Jrue Holiday,MIL,Devin Booker,PHX,NA,NA,42000406,3,2:16,Holiday P.FOUL (P1.T3) (E.Lewis),NA,14.2666666666667,NA,NA,NA,2021-07-20
NA,P.J. Tucker,MIL,Pat Connaughton,MIL,NA,NA,42000406,3,2:16,SUB: Connaughton FOR Tucker,NA,14.2666666666667,NA,NA,NA,2021-07-20
NA,Cameron Johnson,PHX,NA,NA,NA,NA,42000406,3,2:08,NA,MISS Johnson 1' Driving Layup,14.133333333333301,NA,NA,NA,2021-07-20
NA,Pat Connaughton,MIL,NA,NA,NA,NA,42000406,3,2:07,Connaughton REBOUND (Off:1 Def:3),NA,14.1166666666667,NA,NA,NA,2021-07-20
NA,Jae Crowder,PHX,Giannis Antetokounmpo,MIL,NA,NA,42000406,3,1:55,NA,Crowder S.FOUL (P3.PN) (E.Lewis),13.9166666666667,NA,NA,NA,2021-07-20
71 - 76,Giannis Antetokounmpo,MIL,NA,NA,NA,NA,42000406,3,1:55,Antetokounmpo Free Throw 1 of 2 (36 PTS),NA,13.9166666666667,71,76,5,2021-07-20
71 - 77,Giannis Antetokounmpo,MIL,NA,NA,NA,NA,42000406,3,1:55,Antetokounmpo Free Throw 2 of 2 (37 PTS),NA,13.9166666666667,71,77,6,2021-07-20
NA,Cameron Payne,PHX,NA,NA,Bobby Portis,MIL,42000406,3,1:46,Portis BLOCK (1 BLK),MISS Payne 2' Driving Layup,13.7666666666667,NA,NA,NA,2021-07-20
NA,Pat Connaughton,MIL,NA,NA,NA,NA,42000406,3,1:45,Connaughton REBOUND (Off:1 Def:4),NA,13.75,NA,NA,NA,2021-07-20
NA,Pat Connaughton,MIL,Jae Crowder,PHX,NA,NA,42000406,3,1:35,Connaughton Bad Pass Turnover (P2.T14),Crowder STEAL (3 STL),13.5833333333333,NA,NA,NA,2021-07-20
73 - 77,Devin Booker,PHX,NA,NA,NA,NA,42000406,3,1:30,NA,Booker Running Layup (13 PTS),13.5,73,77,4,2021-07-20
NA,Jrue Holiday,MIL,Cameron Johnson,PHX,NA,NA,42000406,3,1:09,Holiday Lost Ball Turnover (P3.T15),Johnson STEAL (1 STL),13.15,NA,NA,NA,2021-07-20
NA,Devin Booker,PHX,NA,NA,NA,NA,42000406,3,1:08,NA,Booker Out of Bounds - Bad Pass Turnover Turnover (P4.T12),13.133333333333301,NA,NA,NA,2021-07-20
NA,Giannis Antetokounmpo,MIL,NA,NA,NA,NA,42000406,3,0:50,MISS Antetokounmpo 27' 3PT Pullup Jump Shot,NA,12.8333333333333,NA,NA,NA,2021-07-20
NA,Cameron Payne,PHX,NA,NA,NA,NA,42000406,3,0:48,NA,Payne REBOUND (Off:0 Def:2),12.8,NA,NA,NA,2021-07-20
75 - 77,Frank Kaminsky,PHX,Devin Booker,PHX,NA,NA,42000406,3,0:44,NA,Kaminsky 2' Cutting Dunk Shot (4 PTS) (Booker 3 AST),12.7333333333333,75,77,2,2021-07-20
NA,Giannis Antetokounmpo,MIL,Frank Kaminsky,PHX,NA,NA,42000406,3,0:28,Antetokounmpo Lost Ball Turnover (P5.T16),Kaminsky STEAL (1 STL),12.4666666666667,NA,NA,NA,2021-07-20
NA,Bobby Portis,MIL,Devin Booker,PHX,NA,NA,42000406,3,0:24,Portis P.FOUL (P2.T4) (S.Foster),NA,12.4,NA,NA,NA,2021-07-20
NA,Giannis Antetokounmpo,MIL,P.J. Tucker,MIL,NA,NA,42000406,3,0:24,SUB: Tucker FOR Antetokounmpo,NA,12.4,NA,NA,NA,2021-07-20
NA,Bobby Portis,MIL,Devin Booker,PHX,NA,NA,42000406,3,0:05,Portis S.FOUL (P3.PN) (T.Brothers),NA,12.0833333333333,NA,NA,NA,2021-07-20
NA,Pat Connaughton,MIL,Giannis Antetokounmpo,MIL,NA,NA,42000406,3,0:05,SUB: Antetokounmpo FOR Connaughton,NA,12.0833333333333,NA,NA,NA,2021-07-20
NA,P.J. Tucker,MIL,Brook Lopez,MIL,NA,NA,42000406,3,0:05,SUB: Lopez FOR Tucker,NA,12.0833333333333,NA,NA,NA,2021-07-20
NA,Frank Kaminsky,PHX,Torrey Craig,PHX,NA,NA,42000406,3,0:05,NA,SUB: Craig FOR Kaminsky,12.0833333333333,NA,NA,NA,2021-07-20
NA,Cameron Payne,PHX,Mikal Bridges,PHX,NA,NA,42000406,3,0:05,NA,SUB: Bridges FOR Payne,12.0833333333333,NA,NA,NA,2021-07-20
76 - 77,Devin Booker,PHX,NA,NA,NA,NA,42000406,3,0:05,NA,Booker Free Throw 1 of 2 (14 PTS),12.0833333333333,76,77,1,2021-07-20
77 - 77,Devin Booker,PHX,NA,NA,NA,NA,42000406,3,0:05,NA,Booker Free Throw 2 of 2 (15 PTS),12.0833333333333,77,77,NA,2021-07-20
NA,Jrue Holiday,MIL,NA,NA,NA,NA,42000406,3,0:00,MISS Holiday 27' 3PT Pullup Jump Shot,NA,12,NA,NA,NA,2021-07-20
NA,NA,NA,NA,NA,NA,NA,42000406,3,0:00,BUCKS Rebound,NA,12,NA,NA,NA,2021-07-20
77 - 77,NA,NA,NA,NA,NA,NA,42000406,3,0:00,NA,NA,12,77,77,NA,2021-07-20
77 - 77,NA,NA,NA,NA,NA,NA,42000406,4,12:00,NA,NA,12,77,77,NA,2021-07-20
NA,Frank Kaminsky,PHX,NA,NA,NA,NA,42000406,4,11:36,NA,MISS Kaminsky 11' Turnaround Jump Shot,11.6,NA,NA,NA,2021-07-20
NA,Pat Connaughton,MIL,NA,NA,NA,NA,42000406,4,11:35,Connaughton REBOUND (Off:1 Def:5),NA,11.5833333333333,NA,NA,NA,2021-07-20
77 - 79,Bobby Portis,MIL,Pat Connaughton,MIL,NA,NA,42000406,4,11:21,Portis 15' Pullup Jump Shot (12 PTS) (Connaughton 1 AST),NA,11.35,77,79,2,2021-07-20
79 - 79,Frank Kaminsky,PHX,Devin Booker,PHX,NA,NA,42000406,4,11:01,NA,Kaminsky 1' Layup (6 PTS) (Booker 4 AST),11.0166666666667,79,79,NA,2021-07-20
NA,Khris Middleton,MIL,NA,NA,NA,NA,42000406,4,10:54,Middleton Out of Bounds - Bad Pass Turnover Turnover (P4.T17),NA,10.9,NA,NA,NA,2021-07-20
NA,Pat Connaughton,MIL,Brook Lopez,MIL,NA,NA,42000406,4,10:54,SUB: Lopez FOR Connaughton,NA,10.9,NA,NA,NA,2021-07-20
NA,Cameron Johnson,PHX,NA,NA,NA,NA,42000406,4,10:31,NA,MISS Johnson 26' 3PT Jump Shot,10.5166666666667,NA,NA,NA,2021-07-20
NA,Jrue Holiday,MIL,NA,NA,NA,NA,42000406,4,10:30,Holiday REBOUND (Off:1 Def:6),NA,10.5,NA,NA,NA,2021-07-20
79 - 82,Jrue Holiday,MIL,NA,NA,NA,NA,42000406,4,10:23,Holiday 27' 3PT Running Pull-Up Jump Shot (12 PTS),NA,10.383333333333301,79,82,3,2021-07-20
81 - 82,Chris Paul,PHX,NA,NA,NA,NA,42000406,4,10:14,NA,Paul 12' Driving Floating Jump Shot (19 PTS),10.2333333333333,81,82,1,2021-07-20
NA,P.J. Tucker,MIL,Chris Paul,PHX,NA,NA,42000406,4,10:14,Tucker S.FOUL (P2.T1) (S.Foster),NA,10.2333333333333,NA,NA,NA,2021-07-20
82 - 82,Chris Paul,PHX,NA,NA,NA,NA,42000406,4,10:14,NA,Paul Free Throw 1 of 1 (20 PTS),10.2333333333333,82,82,NA,2021-07-20
NA,Jrue Holiday,MIL,NA,NA,NA,NA,42000406,4,10:04,MISS Holiday 27' 3PT Pullup Jump Shot,NA,10.0666666666667,NA,NA,NA,2021-07-20
NA,P.J. Tucker,MIL,NA,NA,NA,NA,42000406,4,10:03,Tucker REBOUND (Off:2 Def:3),NA,10.05,NA,NA,NA,2021-07-20
82 - 84,Bobby Portis,MIL,P.J. Tucker,MIL,NA,NA,42000406,4,9:57,Portis 11' Floating Jump Shot (14 PTS) (Tucker 1 AST),NA,9.95,82,84,2,2021-07-20
NA,Mikal Bridges,PHX,NA,NA,NA,NA,42000406,4,9:49,NA,MISS Bridges 14' Fadeaway Jumper,9.81666666666667,NA,NA,NA,2021-07-20
NA,Jrue Holiday,MIL,NA,NA,NA,NA,42000406,4,9:48,Holiday REBOUND (Off:1 Def:7),NA,9.8,NA,NA,NA,2021-07-20
NA,Bobby Portis,MIL,NA,NA,Cameron Johnson,PHX,42000406,4,9:45,MISS Portis 2' Running Layup,Johnson BLOCK (1 BLK),9.75,NA,NA,NA,2021-07-20
NA,NA,NA,NA,NA,NA,NA,42000406,4,9:45,NA,Suns Rebound,9.75,NA,NA,NA,2021-07-20
NA,NA,NA,NA,NA,NA,NA,42000406,4,9:45,NA,Suns Timeout: Regular (Reg.4 Short 0),9.75,NA,NA,NA,2021-07-20
82 - 84,NA,NA,NA,NA,NA,NA,42000406,4,9:45,NA,NA,9.75,82,84,2,2021-07-20
NA,Brook Lopez,MIL,Giannis Antetokounmpo,MIL,NA,NA,42000406,4,9:45,SUB: Antetokounmpo FOR Lopez,NA,9.75,NA,NA,NA,2021-07-20
NA,Frank Kaminsky,PHX,Jae Crowder,PHX,NA,NA,42000406,4,9:45,NA,SUB: Crowder FOR Kaminsky,9.75,NA,NA,NA,2021-07-20
NA,Cameron Johnson,PHX,Deandre Ayton,PHX,NA,NA,42000406,4,9:45,NA,SUB: Ayton FOR Johnson,9.75,NA,NA,NA,2021-07-20
NA,Jae Crowder,PHX,NA,NA,NA,NA,42000406,4,9:29,NA,MISS Crowder 29' 3PT Jump Shot,9.48333333333333,NA,NA,NA,2021-07-20
NA,Giannis Antetokounmpo,MIL,NA,NA,NA,NA,42000406,4,9:26,Antetokounmpo REBOUND (Off:3 Def:8),NA,9.43333333333333,NA,NA,NA,2021-07-20
NA,Giannis Antetokounmpo,MIL,Jae Crowder,PHX,NA,NA,42000406,4,9:16,Antetokounmpo Bad Pass Turnover (P6.T18),Crowder STEAL (4 STL),9.26666666666667,NA,NA,NA,2021-07-20
NA,Devin Booker,PHX,NA,NA,Giannis Antetokounmpo,MIL,42000406,4,8:57,Antetokounmpo BLOCK (4 BLK),MISS Booker 8' Driving Layup,8.95,NA,NA,NA,2021-07-20
NA,Jae Crowder,PHX,NA,NA,NA,NA,42000406,4,8:56,NA,Crowder REBOUND (Off:1 Def:9),8.93333333333333,NA,NA,NA,2021-07-20
NA,Jae Crowder,PHX,NA,NA,NA,NA,42000406,4,8:51,NA,MISS Crowder 36' 3PT Jump Shot,8.85,NA,NA,NA,2021-07-20
NA,Bobby Portis,MIL,NA,NA,NA,NA,42000406,4,8:51,Portis REBOUND (Off:0 Def:3),NA,8.85,NA,NA,NA,2021-07-20
NA,Khris Middleton,MIL,NA,NA,NA,NA,42000406,4,8:42,MISS Middleton 12' Driving Floating Bank Jump Shot,NA,8.7,NA,NA,NA,2021-07-20
NA,Giannis Antetokounmpo,MIL,NA,NA,NA,NA,42000406,4,8:41,Antetokounmpo REBOUND (Off:4 Def:8),NA,8.68333333333333,NA,NA,NA,2021-07-20
82 - 86,Giannis Antetokounmpo,MIL,NA,NA,NA,NA,42000406,4,8:41,Antetokounmpo Tip Layup Shot (39 PTS),NA,8.68333333333333,82,86,4,2021-07-20
84 - 86,Chris Paul,PHX,NA,NA,NA,NA,42000406,4,8:19,NA,Paul 16' Step Back Jump Shot (22 PTS),8.31666666666667,84,86,2,2021-07-20
NA,Deandre Ayton,PHX,Giannis Antetokounmpo,MIL,NA,NA,42000406,4,8:03,NA,Ayton S.FOUL (P5.T1) (S.Foster),8.05,NA,NA,NA,2021-07-20
84 - 87,Giannis Antetokounmpo,MIL,NA,NA,NA,NA,42000406,4,8:03,Antetokounmpo Free Throw 1 of 2 (40 PTS),NA,8.05,84,87,3,2021-07-20
NA,P.J. Tucker,MIL,Pat Connaughton,MIL,NA,NA,42000406,4,8:03,SUB: Connaughton FOR Tucker,NA,8.05,NA,NA,NA,2021-07-20
NA,Deandre Ayton,PHX,Frank Kaminsky,PHX,NA,NA,42000406,4,8:03,NA,SUB: Kaminsky FOR Ayton,8.05,NA,NA,NA,2021-07-20
84 - 88,Giannis Antetokounmpo,MIL,NA,NA,NA,NA,42000406,4,8:03,Antetokounmpo Free Throw 2 of 2 (41 PTS),NA,8.05,84,88,4,2021-07-20
NA,Bobby Portis,MIL,Jae Crowder,PHX,NA,NA,42000406,4,7:47,Portis P.FOUL (P4.T2) (T.Brothers),NA,7.78333333333333,NA,NA,NA,2021-07-20
NA,Bobby Portis,MIL,NA,NA,NA,NA,42000406,4,7:47,Portis T.FOUL (P4.T2) (T.Brothers),NA,7.78333333333333,NA,NA,NA,2021-07-20
NA,Chris Paul,PHX,NA,NA,NA,NA,42000406,4,7:47,NA,MISS Paul Free Throw Technical,7.78333333333333,NA,NA,NA,2021-07-20
NA,NA,NA,NA,NA,NA,NA,42000406,4,7:47,NA,Suns Rebound,7.78333333333333,NA,NA,NA,2021-07-20
NA,Devin Booker,PHX,NA,NA,Giannis Antetokounmpo,MIL,42000406,4,7:42,Antetokounmpo BLOCK (5 BLK),MISS Booker 9' Driving Floating Jump Shot,7.7,NA,NA,NA,2021-07-20
NA,Pat Connaughton,MIL,NA,NA,NA,NA,42000406,4,7:41,Connaughton REBOUND (Off:1 Def:6),NA,7.68333333333333,NA,NA,NA,2021-07-20
NA,Mikal Bridges,PHX,Giannis Antetokounmpo,MIL,NA,NA,42000406,4,7:37,NA,Bridges S.FOUL (P3.T2) (S.Foster),7.61666666666667,NA,NA,NA,2021-07-20
84 - 89,Giannis Antetokounmpo,MIL,NA,NA,NA,NA,42000406,4,7:37,Antetokounmpo Free Throw 1 of 2 (42 PTS),NA,7.61666666666667,84,89,5,2021-07-20
84 - 90,Giannis Antetokounmpo,MIL,NA,NA,NA,NA,42000406,4,7:37,Antetokounmpo Free Throw 2 of 2 (43 PTS),NA,7.61666666666667,84,90,6,2021-07-20
NA,Giannis Antetokounmpo,MIL,Chris Paul,PHX,NA,NA,42000406,4,7:21,Antetokounmpo S.FOUL (P2.T3) (S.Foster),NA,7.35,NA,NA,NA,2021-07-20
85 - 90,Chris Paul,PHX,NA,NA,NA,NA,42000406,4,7:21,NA,Paul Free Throw 1 of 2 (23 PTS),7.35,85,90,5,2021-07-20
86 - 90,Chris Paul,PHX,NA,NA,NA,NA,42000406,4,7:21,NA,Paul Free Throw 2 of 2 (24 PTS),7.35,86,90,4,2021-07-20
NA,Chris Paul,PHX,Giannis Antetokounmpo,MIL,NA,NA,42000406,4,7:09,NA,Paul P.FOUL (P4.T3) (S.Foster),7.15,NA,NA,NA,2021-07-20
86 - 92,Bobby Portis,MIL,Jrue Holiday,MIL,NA,NA,42000406,4,6:58,Portis 4' Driving Layup (16 PTS) (Holiday 10 AST),NA,6.96666666666667,86,92,6,2021-07-20
88 - 92,Devin Booker,PHX,NA,NA,NA,NA,42000406,4,6:34,NA,Booker 9' Fadeaway Jumper (17 PTS),6.56666666666667,88,92,4,2021-07-20
88 - 94,Giannis Antetokounmpo,MIL,Khris Middleton,MIL,NA,NA,42000406,4,6:15,Antetokounmpo 2' Dunk (45 PTS) (Middleton 4 AST),NA,6.25,88,94,6,2021-07-20
NA,Chris Paul,PHX,Jrue Holiday,MIL,NA,NA,42000406,4,6:06,Holiday STEAL (4 STL),Paul Lost Ball Turnover (P3.T13),6.1,NA,NA,NA,2021-07-20
NA,Khris Middleton,MIL,NA,NA,NA,NA,42000406,4,5:48,MISS Middleton 16' Turnaround Fadeaway Shot,NA,5.8,NA,NA,NA,2021-07-20
NA,Chris Paul,PHX,NA,NA,NA,NA,42000406,4,5:46,NA,Paul REBOUND (Off:1 Def:1),5.76666666666667,NA,NA,NA,2021-07-20
NA,Devin Booker,PHX,Pat Connaughton,MIL,NA,NA,42000406,4,5:38,NA,Booker OFF.Foul (P2) (E.Lewis),5.63333333333333,NA,NA,NA,2021-07-20
NA,Devin Booker,PHX,NA,NA,NA,NA,42000406,4,5:38,NA,Booker Offensive Foul Turnover (P5.T14),5.63333333333333,NA,NA,NA,2021-07-20
NA,Frank Kaminsky,PHX,Deandre Ayton,PHX,NA,NA,42000406,4,5:38,NA,SUB: Ayton FOR Kaminsky,5.63333333333333,NA,NA,NA,2021-07-20
NA,Giannis Antetokounmpo,MIL,NA,NA,NA,NA,42000406,4,5:19,MISS Antetokounmpo 9' Turnaround Fadeaway Shot,NA,5.31666666666667,NA,NA,NA,2021-07-20
NA,Pat Connaughton,MIL,NA,NA,NA,NA,42000406,4,5:17,Connaughton REBOUND (Off:2 Def:6),NA,5.28333333333333,NA,NA,NA,2021-07-20
NA,Pat Connaughton,MIL,NA,NA,NA,NA,42000406,4,5:15,MISS Connaughton 25' 3PT Jump Shot,NA,5.25,NA,NA,NA,2021-07-20
NA,Devin Booker,PHX,NA,NA,NA,NA,42000406,4,5:14,NA,Booker REBOUND (Off:0 Def:3),5.23333333333333,NA,NA,NA,2021-07-20
90 - 94,Jae Crowder,PHX,Deandre Ayton,PHX,NA,NA,42000406,4,4:53,NA,Crowder 12' Floating Jump Shot (13 PTS) (Ayton 1 AST),4.88333333333333,90,94,4,2021-07-20
NA,NA,NA,NA,NA,NA,NA,42000406,4,4:50,BUCKS Timeout: Regular (Full 4 Short 0),NA,4.83333333333333,NA,NA,NA,2021-07-20
NA,Pat Connaughton,MIL,P.J. Tucker,MIL,NA,NA,42000406,4,4:50,SUB: Tucker FOR Connaughton,NA,4.83333333333333,NA,NA,NA,2021-07-20
90 - 96,Khris Middleton,MIL,NA,NA,NA,NA,42000406,4,4:35,Middleton 15' Fadeaway Jumper (13 PTS),NA,4.58333333333333,90,96,6,2021-07-20
NA,Devin Booker,PHX,P.J. Tucker,MIL,NA,NA,42000406,4,4:12,Tucker STEAL (1 STL),Booker Lost Ball Turnover (P6.T15),4.2,NA,NA,NA,2021-07-20
NA,Devin Booker,PHX,P.J. Tucker,MIL,NA,NA,42000406,4,4:11,NA,Booker P.FOUL (P3.T4) (E.Lewis),4.18333333333333,NA,NA,NA,2021-07-20
NA,Jrue Holiday,MIL,NA,NA,NA,NA,42000406,4,4:02,MISS Holiday 16' Pullup Jump Shot,NA,4.03333333333333,NA,NA,NA,2021-07-20
NA,Mikal Bridges,PHX,NA,NA,NA,NA,42000406,4,4:00,NA,Bridges REBOUND (Off:1 Def:5),4,NA,NA,NA,2021-07-20
NA,Deandre Ayton,PHX,NA,NA,NA,NA,42000406,4,3:48,NA,MISS Ayton 5' Turnaround Hook Shot,3.8,NA,NA,NA,2021-07-20
NA,Khris Middleton,MIL,NA,NA,NA,NA,42000406,4,3:47,Middleton REBOUND (Off:0 Def:5),NA,3.78333333333333,NA,NA,NA,2021-07-20
90 - 98,Giannis Antetokounmpo,MIL,Khris Middleton,MIL,NA,NA,42000406,4,3:37,Antetokounmpo 2' Driving Finger Roll Layup (47 PTS) (Middleton 5 AST),NA,3.61666666666667,90,98,8,2021-07-20
NA,Devin Booker,PHX,NA,NA,NA,NA,42000406,4,3:18,NA,MISS Booker 28' 3PT Pullup Jump Shot,3.3,NA,NA,NA,2021-07-20
NA,Jae Crowder,PHX,NA,NA,NA,NA,42000406,4,3:16,NA,Crowder REBOUND (Off:2 Def:9),3.26666666666667,NA,NA,NA,2021-07-20
92 - 98,Deandre Ayton,PHX,Devin Booker,PHX,NA,NA,42000406,4,3:08,NA,Ayton 3' Cutting Layup Shot (12 PTS) (Booker 5 AST),3.13333333333333,92,98,6,2021-07-20
NA,NA,NA,NA,NA,NA,NA,42000406,4,3:08,BUCKS Timeout: Regular (Full 5 Short 0),NA,3.13333333333333,NA,NA,NA,2021-07-20
NA,NA,NA,NA,NA,NA,NA,42000406,4,3:08,NA,Suns Timeout: Regular (Reg.5 Short 0),3.13333333333333,NA,NA,NA,2021-07-20
92 - 100,Giannis Antetokounmpo,MIL,Jrue Holiday,MIL,NA,NA,42000406,4,2:43,Antetokounmpo 14' Turnaround Jump Shot (49 PTS) (Holiday 11 AST),NA,2.71666666666667,92,100,8,2021-07-20
NA,Jae Crowder,PHX,NA,NA,NA,NA,42000406,4,2:20,NA,MISS Crowder 27' 3PT Jump Shot,2.33333333333333,NA,NA,NA,2021-07-20
NA,Jrue Holiday,MIL,NA,NA,NA,NA,42000406,4,2:19,Holiday REBOUND (Off:1 Def:8),NA,2.31666666666667,NA,NA,NA,2021-07-20
NA,Bobby Portis,MIL,NA,NA,NA,NA,42000406,4,1:54,MISS Portis 24' 3PT Jump Shot,NA,1.9,NA,NA,NA,2021-07-20
NA,Jae Crowder,PHX,NA,NA,NA,NA,42000406,4,1:53,NA,Crowder REBOUND (Off:2 Def:10),1.88333333333333,NA,NA,NA,2021-07-20
94 - 100,Devin Booker,PHX,NA,NA,NA,NA,42000406,4,1:50,NA,Booker 3' Running Layup (19 PTS),1.83333333333333,94,100,6,2021-07-20
NA,Khris Middleton,MIL,NA,NA,NA,NA,42000406,4,1:33,Middleton Out of Bounds - Bad Pass Turnover Turnover (P5.T19),NA,1.55,NA,NA,NA,2021-07-20
NA,Bobby Portis,MIL,Jae Crowder,PHX,NA,NA,42000406,4,1:14,Portis S.FOUL (P5.T4) (E.Lewis),NA,1.23333333333333,NA,NA,NA,2021-07-20
95 - 100,Jae Crowder,PHX,NA,NA,NA,NA,42000406,4,1:14,NA,Crowder Free Throw 1 of 2 (14 PTS),1.23333333333333,95,100,5,2021-07-20
96 - 100,Jae Crowder,PHX,NA,NA,NA,NA,42000406,4,1:14,NA,Crowder Free Throw 2 of 2 (15 PTS),1.23333333333333,96,100,4,2021-07-20
96 - 102,Khris Middleton,MIL,Giannis Antetokounmpo,MIL,NA,NA,42000406,4,0:56,Middleton 17' Pullup Jump Shot (15 PTS) (Antetokounmpo 2 AST),NA,0.933333333333333,96,102,6,2021-07-20
NA,NA,NA,NA,NA,NA,NA,42000406,4,0:56,NA,Suns Timeout: Regular (Reg.6 Short 0),0.933333333333333,NA,NA,NA,2021-07-20
NA,Bobby Portis,MIL,Pat Connaughton,MIL,NA,NA,42000406,4,0:56,SUB: Connaughton FOR Portis,NA,0.933333333333333,NA,NA,NA,2021-07-20
NA,Devin Booker,PHX,NA,NA,NA,NA,42000406,4,0:50,NA,MISS Booker 26' 3PT Jump Shot,0.833333333333333,NA,NA,NA,2021-07-20
NA,Giannis Antetokounmpo,MIL,NA,NA,NA,NA,42000406,4,0:47,Antetokounmpo REBOUND (Off:4 Def:9),NA,0.783333333333333,NA,NA,NA,2021-07-20
NA,Mikal Bridges,PHX,Khris Middleton,MIL,NA,NA,42000406,4,0:44,NA,Bridges P.FOUL (P4.PN) (T.Brothers),0.733333333333333,NA,NA,NA,2021-07-20
96 - 103,Khris Middleton,MIL,NA,NA,NA,NA,42000406,4,0:44,Middleton Free Throw 1 of 2 (16 PTS),NA,0.733333333333333,96,103,7,2021-07-20
96 - 104,Khris Middleton,MIL,NA,NA,NA,NA,42000406,4,0:44,Middleton Free Throw 2 of 2 (17 PTS),NA,0.733333333333333,96,104,8,2021-07-20
NA,Chris Paul,PHX,NA,NA,NA,NA,42000406,4,0:37,NA,MISS Paul 28' 3PT Pullup Jump Shot,0.616666666666667,NA,NA,NA,2021-07-20
NA,Giannis Antetokounmpo,MIL,NA,NA,NA,NA,42000406,4,0:33,Antetokounmpo REBOUND (Off:4 Def:10),NA,0.55,NA,NA,NA,2021-07-20
NA,NA,NA,NA,NA,NA,NA,42000406,4,0:25,BUCKS Timeout: Regular (Full 6 Short 0),NA,0.416666666666667,NA,NA,NA,2021-07-20
NA,Devin Booker,PHX,Pat Connaughton,MIL,NA,NA,42000406,4,0:19,NA,Booker P.FOUL (P4.PN) (T.Brothers),0.316666666666667,NA,NA,NA,2021-07-20
NA,Pat Connaughton,MIL,NA,NA,NA,NA,42000406,4,0:19,MISS Connaughton Free Throw 1 of 2,NA,0.316666666666667,NA,NA,NA,2021-07-20
NA,NA,NA,NA,NA,NA,NA,42000406,4,0:19,BUCKS Rebound,NA,0.316666666666667,NA,NA,NA,2021-07-20
NA,Pat Connaughton,MIL,NA,NA,NA,NA,42000406,4,0:19,MISS Connaughton Free Throw 2 of 2,NA,0.316666666666667,NA,NA,NA,2021-07-20
NA,Jae Crowder,PHX,NA,NA,NA,NA,42000406,4,0:17,NA,Crowder REBOUND (Off:2 Def:11),0.283333333333333,NA,NA,NA,2021-07-20
98 - 104,Chris Paul,PHX,NA,NA,NA,NA,42000406,4,0:11,NA,Paul 2' Driving Layup (26 PTS),0.183333333333333,98,104,6,2021-07-20
NA,Chris Paul,PHX,Giannis Antetokounmpo,MIL,NA,NA,42000406,4,0:09,NA,Paul Personal Take Foul (P5.PN) (T.Brothers),0.15,NA,NA,NA,2021-07-20
98 - 105,Giannis Antetokounmpo,MIL,NA,NA,NA,NA,42000406,4,0:09,Antetokounmpo Free Throw 1 of 2 (50 PTS),NA,0.15,98,105,7,2021-07-20
