player,salary_rank,team,games_played,player_mvp_calc_avg,salary,team_games_played,games_missed,pvm_rank,rankingish,percentile_rank,color_var,adj_penalty_final,pct_penalized
Terrence Ross,$10-15 M,ORL,54,11.1,12500000,63,9,17.66,0.2,20,Normal,1,0
Oshae Brissett,< $5 M,IND,51,11.1,1701593,64,13,6.86,0.782,78.2,Normal,1,0
Brandon Knight,< $5 M,DAL,3,11.1,1000000,63,60,6.86,0.782,78.2,Normal,0.75,0.25
Killian Hayes,$5-10 M,DET,51,11.1,5572680,63,12,15.89,0.273,27.3,Normal,1,0
Ty Jerome,< $5 M,OKC,48,11.04,2412840,62,14,6.86,0.78,78,Normal,0.96,0.04
Chimezie Metu,< $5 M,SAC,44,11,1762796,65,21,6.86,0.775,77.5,Normal,0.84,0.16
Corey Kispert,< $5 M,WAS,56,11,3383640,61,5,6.86,0.775,77.5,Normal,1,0
Rudy Gay,$5-10 M,UTA,37,10.94,5890000,61,24,15.89,0.26,26,Normal,0.76,0.24
Delon Wright,$5-10 M,ATL,57,10.9,8526316,62,5,15.89,0.247,24.7,Normal,1,0
Jonathan Kuminga,$5-10 M,GSW,51,10.8,5466360,63,12,15.89,0.234,23.4,Normal,1,0
DeAndre' Bembry,< $5 M,MIL,51,10.8,1939350,63,12,6.86,0.772,77.2,Normal,1,0
Kelly Olynyk,$10-15 M,DET,26,10.73,12195122,63,37,17.66,0.171,17.1,Bad Value,0.75,0.25
John Konchar,< $5 M,MEM,55,10.7,2197674,64,9,6.86,0.77,77,Normal,1,0
Jaylen Nowell,< $5 M,MIN,44,10.65,1782621,63,19,6.86,0.767,76.7,Normal,0.88,0.12
Danny Green,$10-15 M,PHI,43,10.65,10000000,61,18,17.66,0.143,14.3,Bad Value,0.88,0.12
Jeremy Lamb,$10-15 M,SAC,45,10.49,10500000,65,20,17.66,0.114,11.4,Bad Value,0.86,0.14
James Johnson,< $5 M,BKN,48,10.43,2641691,64,16,6.86,0.762,76.2,Normal,0.94,0.06
Brandon Goodwin,< $5 M,CLE,20,10.43,1000000,62,42,6.86,0.762,76.2,Normal,0.75,0.25
Mike Muscala,< $5 M,OKC,43,10.41,3500000,62,19,6.86,0.759,75.9,Normal,0.86,0.14
Cam Reddish,< $5 M,NYK,46,10.4,4670160,62,16,6.86,0.757,75.7,Normal,0.92,0.08
Lance Stephenson,< $5 M,IND,32,10.35,138019,64,32,6.86,0.754,75.4,Normal,0.75,0.25
Larry Nance,$10-15 M,POR,37,10.28,10690909,62,25,17.66,0.086,8.6,Bad Value,0.75,0.25
Jordan Nwora,< $5 M,MIL,49,10.19,1517981,63,14,6.86,0.752,75.2,Normal,0.98,0.02
Justise Winslow,< $5 M,POR,44,10.03,3902439,62,18,6.86,0.749,74.9,Normal,0.88,0.12
Tre Jones,< $5 M,SAS,50,10,1517981,63,13,6.86,0.747,74.7,Normal,1,0
Willy Hernangomez,< $5 M,NOP,32,9.9,2327220,62,30,6.86,0.742,74.2,Normal,0.75,0.25
JaMychal Green,$5-10 M,DEN,49,9.9,8292683,62,13,15.89,0.221,22.1,Normal,0.98,0.02
Marvin Bagley,< $5 M,DET,34,9.9,1000000,63,29,6.86,0.742,74.2,Normal,0.75,0.25
Terry Taylor,< $5 M,IND,17,9.83,1000000,64,47,6.86,0.739,73.9,Normal,0.75,0.25
Omer Yurtseven,< $5 M,MIA,45,9.77,1489065,64,19,6.86,0.737,73.7,Normal,0.88,0.12
Nic Claxton,< $5 M,BKN,29,9.68,1000000,64,35,6.86,0.734,73.4,Normal,0.75,0.25
Austin Rivers,< $5 M,DEN,48,9.6,2401537,62,14,6.86,0.732,73.2,Normal,0.96,0.04
Aleksej Pokusevski,< $5 M,OKC,46,9.48,3113160,62,16,6.86,0.729,72.9,Normal,0.92,0.08
Aaron Holiday,< $5 M,PHX,47,9.4,3980551,62,15,6.86,0.727,72.7,Normal,0.94,0.06
Markelle Fultz,$15-20 M,ORL,2,9.38,16500000,63,61,20.88,0.097,9.7,Bad Value,0.75,0.25
Austin Reaves,< $5 M,LAL,43,9.37,925258,62,19,6.86,0.724,72.4,Normal,0.86,0.14
Frank Jackson,< $5 M,DET,44,9.33,3000000,63,19,6.86,0.722,72.2,Normal,0.88,0.12
Juan Toscano-Anderson,< $5 M,GSW,60,9.3,1701593,63,3,6.86,0.719,71.9,Normal,1,0
Taurean Prince,$15-20 M,MIN,51,9.2,15057692,63,12,20.88,0.065,6.5,Bad Value,1,0
Jalen Smith,< $5 M,IND,37,9.15,4458000,64,27,6.86,0.716,71.6,Normal,0.75,0.25
Ziaire Williams,< $5 M,MEM,44,9.12,4373160,64,20,6.86,0.714,71.4,Normal,0.86,0.14
Josh Christopher,< $5 M,HOU,54,9.1,2259240,62,8,6.86,0.711,71.1,Normal,1,0
Dwight Howard,< $5 M,LAL,46,9.02,2641691,62,16,6.86,0.709,70.9,Normal,0.92,0.08
Ish Smith,< $5 M,WAS,44,9,4500000,61,17,6.86,0.701,70.1,Normal,0.9,0.1
Torrey Craig,< $5 M,PHX,58,9,4878049,62,4,6.86,0.701,70.1,Normal,1,0
Donte DiVincenzo,< $5 M,SAC,25,9,4675830,65,40,6.86,0.701,70.1,Normal,0.75,0.25
Josh Green,< $5 M,DAL,48,8.93,2957520,63,15,6.86,0.699,69.9,Normal,0.96,0.04
Thaddeus Young,$10-15 M,TOR,32,8.93,14190000,62,30,17.66,0.057,5.7,Bad Value,0.75,0.25
Keita Bates-Diop,< $5 M,SAS,49,8.92,1729217,63,14,6.86,0.696,69.6,Normal,0.98,0.02
Rui Hachimura,< $5 M,WAS,21,8.85,4916160,61,40,6.86,0.691,69.1,Normal,0.75,0.25
Isaiah Roby,< $5 M,OKC,26,8.85,1782621,62,36,6.86,0.691,69.1,Normal,0.75,0.25
Dean Wade,< $5 M,CLE,47,8.84,1782621,62,15,6.86,0.689,68.9,Normal,0.94,0.06
Avery Bradley,< $5 M,LAL,49,8.82,2641691,62,13,6.86,0.686,68.6,Normal,0.98,0.02
Greg Monroe,< $5 M,MIL,10,8.78,1000000,63,53,6.86,0.684,68.4,Normal,0.75,0.25
Jose Alvarado,< $5 M,NOP,34,8.7,1000000,62,28,6.86,0.678,67.8,Normal,0.75,0.25
Markieff Morris,< $5 M,MIA,10,8.7,2641691,64,54,6.86,0.678,67.8,Normal,0.75,0.25
Moritz Wagner,< $5 M,ORL,45,8.64,1729217,63,18,6.86,0.676,67.6,Normal,0.9,0.1
Lou Williams,$5-10 M,ATL,42,8.57,5000000,62,20,15.89,0.208,20.8,Normal,0.84,0.16
Jalen McDaniels,< $5 M,CHA,39,8.51,1782621,64,25,6.86,0.673,67.3,Normal,0.76,0.24
Dennis Smith,< $5 M,POR,37,8.48,1789256,62,25,6.86,0.671,67.1,Normal,0.75,0.25
Goran Dragic,$15-20 M,BKN,9,8.4,19440000,64,55,20.88,0.032,3.2,Bad Value,0.75,0.25
Patrick Williams,$5-10 M,CHI,5,8.4,7422000,63,58,15.89,0.195,19.5,Bad Value,0.75,0.25
Jeremiah Robinson-Earl,< $5 M,OKC,44,8.36,2000000,62,18,6.86,0.668,66.8,Normal,0.88,0.12
D.J. Wilson,< $5 M,TOR,4,8.33,102831,62,58,6.86,0.666,66.6,Normal,0.75,0.25
Rajon Rondo,< $5 M,CLE,32,8.25,2641691,62,30,6.86,0.658,65.8,Normal,0.75,0.25
Nik Stauskas,< $5 M,MIA,2,8.25,1000000,64,62,6.86,0.658,65.8,Normal,0.75,0.25
Hassani Gravett,< $5 M,ORL,8,8.25,52274,63,55,6.86,0.658,65.8,Normal,0.75,0.25
Derrick Jones,$5-10 M,CHI,38,8.21,9720900,63,25,15.89,0.182,18.2,Bad Value,0.76,0.24
Stanley Johnson,< $5 M,LAL,28,8.18,1000000,62,34,6.86,0.656,65.6,Normal,0.75,0.25
Payton Pritchard,< $5 M,BOS,54,8.1,2137440,65,11,6.86,0.653,65.3,Normal,1,0
Serge Ibaka,$5-10 M,MIL,41,8.04,9742000,63,22,15.89,0.169,16.9,Bad Value,0.82,0.18
Cameron McGriff,< $5 M,POR,3,8.03,1000000,62,59,6.86,0.651,65.1,Normal,0.75,0.25
R.J. Hampton,< $5 M,ORL,45,8.01,2303040,63,18,6.86,0.648,64.8,Normal,0.9,0.1
Ben McLemore,< $5 M,POR,45,7.92,2389641,62,17,6.86,0.646,64.6,Normal,0.9,0.1
Troy Brown,$5-10 M,CHI,52,7.9,5170564,63,11,15.89,0.156,15.6,Bad Value,1,0
Drew Eubanks,< $5 M,POR,52,7.9,1762796,62,10,6.86,0.643,64.3,Normal,1,0
Thomas Bryant,$5-10 M,WAS,19,7.88,8730159,61,42,15.89,0.143,14.3,Bad Value,0.75,0.25
Isaiah Jackson,< $5 M,IND,24,7.88,2451120,64,40,6.86,0.641,64.1,Normal,0.75,0.25
Day'Ron Sharpe,< $5 M,BKN,32,7.8,2009040,64,32,6.86,0.635,63.5,Normal,0.75,0.25
Justin Anderson,< $5 M,IND,6,7.8,111457,64,58,6.86,0.635,63.5,Normal,0.75,0.25
Zach Collins,$5-10 M,SAS,9,7.73,6984127,63,54,15.89,0.13,13,Bad Value,0.75,0.25
Jordan McLaughlin,< $5 M,MIN,45,7.65,1669178,63,18,6.86,0.633,63.3,Normal,0.9,0.1
Robin Lopez,$5-10 M,ORL,27,7.65,5000000,63,36,15.89,0.117,11.7,Bad Value,0.75,0.25
Isaiah Thomas,< $5 M,CHA,6,7.58,135680,64,58,6.86,0.63,63,Normal,0.75,0.25
Duane Washington,< $5 M,IND,32,7.5,1000000,64,32,6.86,0.628,62.8,Normal,0.75,0.25
Taj Gibson,< $5 M,NYK,40,7.44,4910000,62,22,6.86,0.625,62.5,Normal,0.8,0.2
Khem Birch,$5-10 M,TOR,36,7.43,6350000,62,26,15.89,0.104,10.4,Bad Value,0.75,0.25
Nerlens Noel,$5-10 M,NYK,25,7.35,8800000,62,37,15.89,0.091,9.1,Bad Value,0.75,0.25
Brandon Boston,< $5 M,LAC,44,7.31,925258,65,21,6.86,0.623,62.3,Normal,0.84,0.16
Wes Iwundu,< $5 M,ATL,3,7.28,1000000,62,59,6.86,0.615,61.5,Normal,0.75,0.25
Saben Lee,< $5 M,DET,28,7.28,1489065,63,35,6.86,0.615,61.5,Normal,0.75,0.25
Damian Jones,< $5 M,SAC,42,7.28,1977011,65,23,6.86,0.615,61.5,Normal,0.8,0.2
Zeke Nnaji,< $5 M,DEN,39,7.25,2498760,62,23,6.86,0.613,61.3,Normal,0.78,0.22
Armoni Brooks,< $5 M,HOU,41,7.22,1489065,62,21,6.86,0.61,61,Normal,0.82,0.18
Frank Ntilikina,< $5 M,DAL,47,7.14,1789256,63,16,6.86,0.608,60.8,Normal,0.94,0.06
Alex Len,< $5 M,SAC,34,7.13,3731707,65,31,6.86,0.603,60.3,Normal,0.75,0.25
Aaron Wiggins,< $5 M,OKC,37,7.13,1000000,62,25,6.86,0.603,60.3,Normal,0.75,0.25
Quentin Grimes,< $5 M,NYK,39,7.1,2168760,62,23,6.86,0.6,60,Normal,0.78,0.22
Eric Paschall,< $5 M,UTA,45,6.99,1782621,61,16,6.86,0.597,59.7,Normal,0.92,0.08
Tristan Thompson,$5-10 M,CHI,38,6.92,9720900,63,25,15.89,0.078,7.8,Bad Value,0.76,0.24
Brandon Williams,< $5 M,POR,5,6.9,1000000,62,57,6.86,0.592,59.2,Normal,0.75,0.25
Dalano Banton,< $5 M,TOR,52,6.9,925258,62,10,6.86,0.592,59.2,Normal,1,0
Tony Bradley,< $5 M,CHI,47,6.86,1789256,63,16,6.86,0.59,59,Normal,0.94,0.06
Wesley Matthews,< $5 M,MIL,33,6.83,1958501,63,30,6.86,0.587,58.7,Normal,0.75,0.25
Garrett Temple,< $5 M,NOP,55,6.8,4910000,62,7,6.86,0.582,58.2,Normal,1,0
Trent Forrest,< $5 M,UTA,49,6.8,1000000,61,12,6.86,0.582,58.2,Normal,1,0
Josh Jackson,$5-10 M,SAC,42,6.8,5005350,65,23,15.89,0.065,6.5,Bad Value,0.8,0.2
Malik Newman,< $5 M,CLE,1,6.75,1000000,62,61,6.86,0.58,58,Normal,0.75,0.25
Xavier Tillman,< $5 M,MEM,40,6.71,1517981,64,24,6.86,0.577,57.7,Normal,0.78,0.22
Daniel Theis,$5-10 M,BOS,31,6.6,8372093,65,34,15.89,0.052,5.2,Bad Value,0.75,0.25
Xavier Moon,< $5 M,LAC,6,6.6,1000000,65,59,6.86,0.575,57.5,Normal,0.75,0.25
Svi Mykhailiuk,< $5 M,TOR,47,6.58,1729217,62,15,6.86,0.572,57.2,Normal,0.94,0.06
David Duke,< $5 M,BKN,21,6.53,1000000,64,43,6.86,0.57,57,Normal,0.75,0.25
David Nwaba,< $5 M,HOU,40,6.48,4650000,62,22,6.86,0.567,56.7,Normal,0.8,0.2
Danuel House,< $5 M,UTA,29,6.45,1387498,61,32,6.86,0.565,56.5,Normal,0.75,0.25
Davis Bertans,$15-20 M,DAL,40,6.4,16000000,63,23,20.88,0,0,Bad Value,0.8,0.2
Kessler Edwards,< $5 M,BKN,32,6.38,1000000,64,32,6.86,0.557,55.7,Normal,0.75,0.25
Marquese Chriss,< $5 M,DAL,23,6.38,111457,63,40,6.86,0.557,55.7,Normal,0.75,0.25
Romeo Langford,< $5 M,BOS,44,6.38,3804360,65,21,6.86,0.557,55.7,Normal,0.84,0.16
Lamar Stevens,< $5 M,CLE,44,6.16,1517981,62,18,6.86,0.554,55.4,Normal,0.88,0.12
Derrick Favors,$5-10 M,OKC,39,6.16,9720900,62,23,15.89,0.039,3.9,Bad Value,0.78,0.22
Devontae Cacok,< $5 M,SAS,11,6.15,1000000,63,52,6.86,0.547,54.7,Normal,0.75,0.25
Cody Zeller,< $5 M,POR,27,6.15,2389641,62,35,6.86,0.547,54.7,Normal,0.75,0.25
Maurice Harkless,< $5 M,SAC,43,6.15,4347600,65,22,6.86,0.547,54.7,Normal,0.82,0.18
Goga Bitadze,< $5 M,IND,39,6.08,3098400,64,25,6.86,0.542,54.2,Normal,0.76,0.24
Kelan Martin,< $5 M,BOS,28,6.08,1701593,65,37,6.86,0.542,54.2,Normal,0.75,0.25
Wayne Ellington,< $5 M,LAL,37,6,2641691,62,25,6.86,0.539,53.9,Normal,0.75,0.25
Trey Burke,< $5 M,DAL,32,5.93,3333333,63,31,6.86,0.537,53.7,Normal,0.75,0.25
Keifer Sykes,< $5 M,IND,22,5.85,1000000,64,42,6.86,0.527,52.7,Normal,0.75,0.25
PJ Dozier,< $5 M,DEN,18,5.85,1000000,62,44,6.86,0.527,52.7,Normal,0.75,0.25
Mamadi Diakite,< $5 M,OKC,13,5.85,1000000,62,49,6.86,0.527,52.7,Normal,0.75,0.25
Killian Tillie,< $5 M,MEM,33,5.85,1000000,64,31,6.86,0.527,52.7,Normal,0.75,0.25
Udoka Azubuike,< $5 M,UTA,15,5.78,2075880,61,46,6.86,0.524,52.4,Normal,0.75,0.25
Malachi Flynn,< $5 M,TOR,39,5.69,2048040,62,23,6.86,0.522,52.2,Normal,0.78,0.22
Chaundee Brown,< $5 M,ATL,5,5.63,1000000,62,57,6.86,0.514,51.4,Normal,0.75,0.25
Davon Reed,< $5 M,DEN,32,5.63,94304,62,30,6.86,0.514,51.4,Normal,0.75,0.25
Enes Freedom,< $5 M,BOS,35,5.63,2641691,65,30,6.86,0.514,51.4,Normal,0.75,0.25
Elfrid Payton,< $5 M,PHX,40,5.6,2239544,62,22,6.86,0.511,51.1,Normal,0.8,0.2
Jevon Carter,< $5 M,MIL,49,5.59,3833333,63,14,6.86,0.509,50.9,Normal,0.98,0.02
B.J. Johnson,< $5 M,ORL,4,5.55,94304,63,59,6.86,0.506,50.6,Normal,0.75,0.25
Cassius Stanley,< $5 M,DET,9,5.48,1000000,63,54,6.86,0.504,50.4,Normal,0.75,0.25
Sterling Brown,< $5 M,DAL,39,5.46,3000000,63,24,6.86,0.501,50.1,Normal,0.78,0.22
Rodney McGruder,< $5 M,DET,38,5.4,1939350,63,25,6.86,0.496,49.6,Normal,0.76,0.24
Joshua Primo,< $5 M,SAS,33,5.4,3946800,63,30,6.86,0.496,49.6,Normal,0.75,0.25
Yuta Watanabe,< $5 M,TOR,28,5.33,1762769,62,34,6.86,0.494,49.4,Normal,0.75,0.25
Jarrett Culver,$5-10 M,MEM,27,5.33,6395160,64,37,15.89,0.026,2.6,Bad Value,0.75,0.25
Jock Landale,< $5 M,SAS,38,5.32,925258,63,25,6.86,0.491,49.1,Normal,0.76,0.24
DeAndre Jordan,$10-15 M,LAL,32,5.25,10517224,62,30,17.66,0.029,2.9,Bad Value,0.75,0.25
CJ Elleby,< $5 M,POR,38,5.24,1517981,62,24,6.86,0.489,48.9,Normal,0.76,0.24
Kira Lewis,< $5 M,NOP,24,5.18,3822240,62,38,6.86,0.484,48.4,Normal,0.75,0.25
Vlatko Cancar,< $5 M,DEN,14,5.18,1782621,62,48,6.86,0.484,48.4,Normal,0.75,0.25
Trey Murphy,< $5 M,NOP,44,5.1,1000000,62,18,6.86,0.478,47.8,Normal,0.88,0.12
Paul Millsap,< $5 M,PHI,29,5.1,2641691,61,32,6.86,0.478,47.8,Normal,0.75,0.25
Brad Wanamaker,< $5 M,WAS,23,5.03,1729217,61,38,6.86,0.476,47.6,Normal,0.75,0.25
Isaiah Joe,< $5 M,PHI,43,5.02,1517981,61,18,6.86,0.473,47.3,Normal,0.88,0.12
Tyler Johnson,< $5 M,SAS,6,4.95,128709,63,57,6.86,0.466,46.6,Normal,0.75,0.25
Trevor Ariza,< $5 M,LAL,22,4.95,2641691,62,40,6.86,0.466,46.6,Normal,0.75,0.25
Luka Garza,< $5 M,DET,29,4.95,925258,63,34,6.86,0.466,46.6,Normal,0.75,0.25
KZ Okpala,< $5 M,MIA,21,4.88,1782621,64,43,6.86,0.461,46.1,Normal,0.75,0.25
Tre Scott,< $5 M,CLE,2,4.88,53176,62,60,6.86,0.461,46.1,Normal,0.75,0.25
Gorgui Dieng,< $5 M,ATL,40,4.8,4000000,62,22,6.86,0.453,45.3,Normal,0.8,0.2
James Ennis,< $5 M,DEN,7,4.8,126528,62,55,6.86,0.453,45.3,Normal,0.75,0.25
Trendon Watford,< $5 M,POR,36,4.8,1000000,62,26,6.86,0.453,45.3,Normal,0.75,0.25
D.J. Augustin,$5-10 M,LAL,35,4.73,7000000,62,27,15.89,0.013,1.3,Bad Value,0.75,0.25
Jared Harper,< $5 M,NOP,2,4.73,1000000,62,60,6.86,0.451,45.1,Normal,0.75,0.25
Naji Marshall,< $5 M,NOP,35,4.65,1517981,62,27,6.86,0.446,44.6,Normal,0.75,0.25
Trevelin Queen,< $5 M,HOU,8,4.65,1000000,62,54,6.86,0.446,44.6,Normal,0.75,0.25
Matt Thomas,< $5 M,CHI,38,4.64,1669178,63,25,6.86,0.443,44.3,Normal,0.76,0.24
James Bouknight,< $5 M,CHA,28,4.58,4154400,64,36,6.86,0.438,43.8,Normal,0.75,0.25
Daishen Nix,< $5 M,HOU,8,4.58,1000000,62,54,6.86,0.438,43.8,Normal,0.75,0.25
JT Thor,< $5 M,CHA,23,4.5,1250000,64,41,6.86,0.435,43.5,Normal,0.75,0.25
Jabari Parker,< $5 M,BOS,12,4.43,2239544,65,53,6.86,0.428,42.8,Normal,0.75,0.25
Usman Garuba,< $5 M,HOU,15,4.43,2353320,62,47,6.86,0.428,42.8,Normal,0.75,0.25
Boban Marjanovic,< $5 M,DAL,17,4.43,3500000,63,46,6.86,0.428,42.8,Normal,0.75,0.25
Aaron Nesmith,< $5 M,BOS,45,4.39,3631200,65,20,6.86,0.425,42.5,Normal,0.86,0.14
Anthony Gill,< $5 M,WAS,28,4.35,1517981,61,33,6.86,0.415,41.5,Normal,0.75,0.25
Malcolm Hill,< $5 M,CHI,17,4.35,53176,63,46,6.86,0.415,41.5,Normal,0.75,0.25
Rayjon Tucker,< $5 M,DEN,3,4.35,95930,62,59,6.86,0.415,41.5,Normal,0.75,0.25
Santi Aldama,< $5 M,MEM,27,4.35,1994520,64,37,6.86,0.415,41.5,Normal,0.75,0.25
Charles Bassey,< $5 M,PHI,23,4.28,925258,61,38,6.86,0.41,41,Normal,0.75,0.25
Tremont Waters,< $5 M,WAS,3,4.28,1000000,61,58,6.86,0.41,41,Normal,0.75,0.25
Kent Bazemore,< $5 M,LAL,35,4.2,2401537,62,27,6.86,0.405,40.5,Normal,0.75,0.25
Louis King,< $5 M,SAC,10,4.2,1000000,65,55,6.86,0.405,40.5,Normal,0.75,0.25
Tony Snell,< $5 M,NOP,44,4.14,2389641,62,18,6.86,0.403,40.3,Normal,0.88,0.12
Theo Maledon,< $5 M,OKC,35,4.13,2000000,62,27,6.86,0.397,39.7,Normal,0.75,0.25
Timothe Luwawu-Cabarrot,< $5 M,ATL,37,4.13,1939350,62,25,6.86,0.397,39.7,Normal,0.75,0.25
Rodney Hood,< $5 M,LAC,43,4.1,2239544,65,22,6.86,0.395,39.5,Normal,0.82,0.18
Solomon Hill,< $5 M,ATL,13,3.98,2389641,62,49,6.86,0.392,39.2,Normal,0.75,0.25
Tomas Satoransky,$10-15 M,WAS,34,3.9,10000000,61,27,17.66,0,0,Bad Value,0.75,0.25
Freddie Gillespie,< $5 M,ORL,9,3.9,85578,63,54,6.86,0.385,38.5,Normal,0.75,0.25
Kyle Guy,< $5 M,MIA,16,3.9,1000000,64,48,6.86,0.385,38.5,Normal,0.75,0.25
Paul Reed,< $5 M,PHI,26,3.9,1517981,61,35,6.86,0.385,38.5,Normal,0.75,0.25
Josh Okogie,< $5 M,MIN,34,3.83,4087904,63,29,6.86,0.38,38,Normal,0.75,0.25
Miles McBride,< $5 M,NYK,23,3.83,925258,62,39,6.86,0.38,38,Normal,0.75,0.25
Moses Moody,< $5 M,GSW,38,3.8,3562080,63,25,6.86,0.377,37.7,Normal,0.76,0.24
Nathan Knight,< $5 M,MIN,28,3.75,1000000,63,35,6.86,0.367,36.7,Normal,0.75,0.25
Udonis Haslem,< $5 M,MIA,9,3.75,2641691,64,55,6.86,0.367,36.7,Normal,0.75,0.25
Olivier Sarr,< $5 M,OKC,6,3.75,1000000,62,56,6.86,0.367,36.7,Normal,0.75,0.25
Gary Clark,< $5 M,NOP,30,3.75,3382007,62,32,6.86,0.367,36.7,Normal,0.75,0.25
Justin Champagnie,< $5 M,TOR,34,3.68,1000000,62,28,6.86,0.365,36.5,Normal,0.75,0.25
Jared Butler,< $5 M,UTA,28,3.6,925258,61,33,6.86,0.354,35.4,Normal,0.75,0.25
Shaquille Harrison,< $5 M,BKN,2,3.6,101088,64,62,6.86,0.354,35.4,Normal,0.75,0.25
Craig Sword,< $5 M,WAS,3,3.6,1000000,61,58,6.86,0.354,35.4,Normal,0.75,0.25
Greg Brown,< $5 M,POR,31,3.6,1000000,62,31,6.86,0.354,35.4,Normal,0.75,0.25
Marcus Garrett,< $5 M,MIA,12,3.53,1000000,64,52,6.86,0.344,34.4,Normal,0.75,0.25
Keon Johnson,< $5 M,POR,18,3.53,2553120,62,44,6.86,0.344,34.4,Normal,0.75,0.25
Nick Richards,< $5 M,CHA,42,3.53,1517981,64,22,6.86,0.344,34.4,Normal,0.82,0.18
Markus Howard,< $5 M,DEN,24,3.53,1000000,62,38,6.86,0.344,34.4,Normal,0.75,0.25
Abdel Nader,< $5 M,PHX,14,3.45,2000000,62,48,6.86,0.339,33.9,Normal,0.75,0.25
Chris Chiozza,< $5 M,GSW,26,3.45,1000000,63,37,6.86,0.339,33.9,Normal,0.75,0.25
Damyean Dotson,< $5 M,NYK,2,3.38,102831,62,60,6.86,0.327,32.7,Normal,0.75,0.25
Javin DeLaurier,< $5 M,MIL,1,3.38,1000000,63,62,6.86,0.327,32.7,Normal,0.75,0.25
Sam Merrill,< $5 M,MEM,6,3.38,1517981,64,58,6.86,0.327,32.7,Normal,0.75,0.25
Moses Brown,< $5 M,DAL,26,3.38,1701593,63,37,6.86,0.327,32.7,Normal,0.75,0.25
Jeff Dowtin,< $5 M,MIL,4,3.38,1000000,63,59,6.86,0.327,32.7,Normal,0.75,0.25
Lindell Wigginton,< $5 M,MIL,12,3.3,1000000,63,51,6.86,0.314,31.4,Normal,0.75,0.25
Jay Scrubb,< $5 M,LAC,18,3.3,1000000,65,47,6.86,0.314,31.4,Normal,0.75,0.25
Wenyen Gabriel,< $5 M,LAL,8,3.3,99380,62,54,6.86,0.314,31.4,Normal,0.75,0.25
Tyler Cook,< $5 M,CHI,19,3.3,1000000,63,44,6.86,0.314,31.4,Normal,0.75,0.25
Willie Cauley-Stein,< $5 M,PHI,20,3.3,4200000,61,41,6.86,0.314,31.4,Normal,0.75,0.25
Ignas Brazdeikis,< $5 M,ORL,29,3.23,1000000,63,34,6.86,0.311,31.1,Normal,0.75,0.25
Dylan Windler,< $5 M,CLE,38,3.12,2239200,62,24,6.86,0.309,30.9,Normal,0.76,0.24
Skylar Mays,< $5 M,ATL,24,3.08,1000000,62,38,6.86,0.301,30.1,Normal,0.75,0.25
Devon Dotson,< $5 M,CHI,12,3.08,1000000,63,51,6.86,0.301,30.1,Normal,0.75,0.25
Bol Bol,< $5 M,DEN,13,3.08,2161152,62,49,6.86,0.301,30.1,Normal,0.75,0.25
Vit Krejci,< $5 M,OKC,10,3,925258,62,52,6.86,0.294,29.4,Normal,0.75,0.25
Paris Bass,< $5 M,PHX,2,3,1000000,62,60,6.86,0.294,29.4,Normal,0.75,0.25
Langston Galloway,< $5 M,MIL,7,3,1000000,63,56,6.86,0.294,29.4,Normal,0.75,0.25
Ish Wainright,< $5 M,PHX,32,2.93,1000000,62,30,6.86,0.291,29.1,Normal,0.75,0.25
Reggie Perry,< $5 M,IND,3,2.85,1000000,64,61,6.86,0.273,27.3,Normal,0.75,0.25
Cat Barber,< $5 M,ATL,2,2.85,1000000,62,60,6.86,0.273,27.3,Normal,0.75,0.25
Eugene Omoruyi,< $5 M,DAL,4,2.85,1000000,63,59,6.86,0.273,27.3,Normal,0.75,0.25
Paul Watson,< $5 M,OKC,9,2.85,1000000,62,53,6.86,0.273,27.3,Normal,0.75,0.25
Luke Kornet,< $5 M,BOS,6,2.85,102831,65,59,6.86,0.273,27.3,Normal,0.75,0.25
Denzel Valentine,< $5 M,UTA,24,2.85,1789256,61,37,6.86,0.273,27.3,Normal,0.75,0.25
Neemias Queta,< $5 M,SAC,10,2.85,1000000,65,55,6.86,0.273,27.3,Normal,0.75,0.25
Tim Frazier,< $5 M,CLE,12,2.78,128709,62,50,6.86,0.268,26.8,Normal,0.75,0.25
Admiral Schofield,< $5 M,ORL,27,2.78,84128,63,36,6.86,0.268,26.8,Normal,0.75,0.25
Lindy Waters,< $5 M,OKC,7,2.7,1000000,62,55,6.86,0.266,26.6,Normal,0.75,0.25
Thanasis Antetokounmpo,< $5 M,MIL,38,2.66,1729217,63,25,6.86,0.263,26.3,Normal,0.76,0.24
Quinndary Weatherspoon,< $5 M,GSW,5,2.63,1000000,63,58,6.86,0.256,25.6,Normal,0.75,0.25
Javonte Smart,< $5 M,MIL,13,2.63,1000000,63,50,6.86,0.256,25.6,Normal,0.75,0.25
Charlie Brown,< $5 M,PHI,19,2.63,1000000,61,42,6.86,0.256,25.6,Normal,0.75,0.25
Jay Huff,< $5 M,LAL,4,2.55,1000000,62,58,6.86,0.253,25.3,Normal,0.75,0.25
Isaiah Livers,< $5 M,DET,4,2.48,1057260,63,59,6.86,0.243,24.3,Normal,0.75,0.25
M.J. Walker,< $5 M,PHX,2,2.48,1000000,62,60,6.86,0.243,24.3,Normal,0.75,0.25
Tacko Fall,< $5 M,CLE,11,2.48,1000000,62,51,6.86,0.243,24.3,Normal,0.75,0.25
Jahmi'us Ramsey,< $5 M,SAC,19,2.48,1517981,65,46,6.86,0.243,24.3,Normal,0.75,0.25
