time_quarter,play,time_remaining_final,quarter,away_score,score,home_score,home_team,away_team,score_away,score_home,margin_score,date,leading_team,home_team_full,home_primary_color,away_team_full,away_primary_color,game_description,away_fill,home_fill,scoring_team_color,scoring_team,max_home_lead,max_away_lead,winning_team,losing_team
12:00,Start of 3rd quarter,24,3rd Quarter,Start of 3rd quarter,Start of 3rd quarter,Start of 3rd quarter,BOS,MIA,48,46,-2,2022-05-27,MIA,Boston Celtics,#008348,Miami Heat,#98002e,Boston Celtics Vs. Miami Heat,<span style='color:#98002e';>Miami Heat</span>,<span style='color:#008348';>Boston Celtics</span>,#808080,TIE,4,-13,MIA,BOS
0:00,End of 2nd quarter,24,2nd Quarter,End of 2nd quarter,End of 2nd quarter,End of 2nd quarter,BOS,MIA,48,46,-2,2022-05-27,MIA,Boston Celtics,#008348,Miami Heat,#98002e,Boston Celtics Vs. Miami Heat,<span style='color:#98002e';>Miami Heat</span>,<span style='color:#008348';>Boston Celtics</span>,#808080,TIE,4,-13,MIA,BOS
10:56,Jump ball: J. Brown vs. J. Butler (J. Tatum gains possession),22.93,3rd Quarter,Jump ball: J. Brown vs. J. Butler (J. Tatum gains possession),Jump ball: J. Brown vs. J. Butler (J. Tatum gains possession),Jump ball: J. Brown vs. J. Butler (J. Tatum gains possession),BOS,MIA,48,46,-2,2022-05-27,MIA,Boston Celtics,#008348,Miami Heat,#98002e,Boston Celtics Vs. Miami Heat,<span style='color:#98002e';>Miami Heat</span>,<span style='color:#008348';>Boston Celtics</span>,#808080,TIE,4,-13,MIA,BOS
10:54,J. Tatum makes 3-pt jump shot from 26 ft (assist by J. Brown),22.9,3rd Quarter,NA,48-49,+3,BOS,MIA,48,49,1,2022-05-27,BOS,Boston Celtics,#008348,Miami Heat,#98002e,Boston Celtics Vs. Miami Heat,<span style='color:#98002e';>Miami Heat</span>,<span style='color:#008348';>Boston Celtics</span>,#008348,BOS,4,-13,MIA,BOS
10:22,M. Strus makes 3-pt jump shot from 27 ft (assist by K. Lowry),22.37,3rd Quarter,+3,51-49,NA,BOS,MIA,51,49,-2,2022-05-27,MIA,Boston Celtics,#008348,Miami Heat,#98002e,Boston Celtics Vs. Miami Heat,<span style='color:#98002e';>Miami Heat</span>,<span style='color:#008348';>Boston Celtics</span>,#98002e,MIA,4,-13,MIA,BOS
9:15,M. Strus makes 2-pt dunk from 2 ft (assist by K. Lowry),21.25,3rd Quarter,+2,53-49,NA,BOS,MIA,53,49,-4,2022-05-27,MIA,Boston Celtics,#008348,Miami Heat,#98002e,Boston Celtics Vs. Miami Heat,<span style='color:#98002e';>Miami Heat</span>,<span style='color:#008348';>Boston Celtics</span>,#98002e,MIA,4,-13,MIA,BOS
8:57,J. Tatum makes 3-pt jump shot from 26 ft,20.95,3rd Quarter,NA,53-52,+3,BOS,MIA,53,52,-1,2022-05-27,MIA,Boston Celtics,#008348,Miami Heat,#98002e,Boston Celtics Vs. Miami Heat,<span style='color:#98002e';>Miami Heat</span>,<span style='color:#008348';>Boston Celtics</span>,#008348,BOS,4,-13,MIA,BOS
8:44,B. Adebayo makes 2-pt jump shot from 13 ft,20.73,3rd Quarter,+2,55-52,NA,BOS,MIA,55,52,-3,2022-05-27,MIA,Boston Celtics,#008348,Miami Heat,#98002e,Boston Celtics Vs. Miami Heat,<span style='color:#98002e';>Miami Heat</span>,<span style='color:#008348';>Boston Celtics</span>,#98002e,MIA,4,-13,MIA,BOS
7:52,J. Butler makes 2-pt layup from 3 ft,19.87,3rd Quarter,+2,57-52,NA,BOS,MIA,57,52,-5,2022-05-27,MIA,Boston Celtics,#008348,Miami Heat,#98002e,Boston Celtics Vs. Miami Heat,<span style='color:#98002e';>Miami Heat</span>,<span style='color:#008348';>Boston Celtics</span>,#98002e,MIA,4,-13,MIA,BOS
7:37,M. Smart makes free throw 1 of 1,19.62,3rd Quarter,NA,57-56,+1,BOS,MIA,57,56,-1,2022-05-27,MIA,Boston Celtics,#008348,Miami Heat,#98002e,Boston Celtics Vs. Miami Heat,<span style='color:#98002e';>Miami Heat</span>,<span style='color:#008348';>Boston Celtics</span>,#008348,BOS,4,-13,MIA,BOS
7:37,M. Smart makes 3-pt jump shot from 23 ft (assist by A. Horford),19.62,3rd Quarter,NA,57-55,+3,BOS,MIA,57,55,-2,2022-05-27,MIA,Boston Celtics,#008348,Miami Heat,#98002e,Boston Celtics Vs. Miami Heat,<span style='color:#98002e';>Miami Heat</span>,<span style='color:#008348';>Boston Celtics</span>,#008348,BOS,4,-13,MIA,BOS
7:21,V. Oladipo makes 2-pt jump shot from 9 ft (assist by K. Lowry),19.35,3rd Quarter,+2,59-56,NA,BOS,MIA,59,56,-3,2022-05-27,MIA,Boston Celtics,#008348,Miami Heat,#98002e,Boston Celtics Vs. Miami Heat,<span style='color:#98002e';>Miami Heat</span>,<span style='color:#008348';>Boston Celtics</span>,#98002e,MIA,4,-13,MIA,BOS
7:07,J. Butler makes 2-pt layup from 3 ft,19.12,3rd Quarter,+2,61-56,NA,BOS,MIA,61,56,-5,2022-05-27,MIA,Boston Celtics,#008348,Miami Heat,#98002e,Boston Celtics Vs. Miami Heat,<span style='color:#98002e';>Miami Heat</span>,<span style='color:#008348';>Boston Celtics</span>,#98002e,MIA,4,-13,MIA,BOS
7:07,J. Butler makes free throw 1 of 1,19.12,3rd Quarter,+1,62-56,NA,BOS,MIA,62,56,-6,2022-05-27,MIA,Boston Celtics,#008348,Miami Heat,#98002e,Boston Celtics Vs. Miami Heat,<span style='color:#98002e';>Miami Heat</span>,<span style='color:#008348';>Boston Celtics</span>,#98002e,MIA,4,-13,MIA,BOS
6:30,V. Oladipo makes free throw 1 of 2,18.5,3rd Quarter,+1,63-56,NA,BOS,MIA,63,56,-7,2022-05-27,MIA,Boston Celtics,#008348,Miami Heat,#98002e,Boston Celtics Vs. Miami Heat,<span style='color:#98002e';>Miami Heat</span>,<span style='color:#008348';>Boston Celtics</span>,#98002e,MIA,4,-13,MIA,BOS
6:30,V. Oladipo makes free throw 2 of 2,18.5,3rd Quarter,+1,64-56,NA,BOS,MIA,64,56,-8,2022-05-27,MIA,Boston Celtics,#008348,Miami Heat,#98002e,Boston Celtics Vs. Miami Heat,<span style='color:#98002e';>Miami Heat</span>,<span style='color:#008348';>Boston Celtics</span>,#98002e,MIA,4,-13,MIA,BOS
6:16,M. Smart makes 2-pt jump shot from 4 ft (assist by J. Tatum),18.27,3rd Quarter,NA,64-58,+2,BOS,MIA,64,58,-6,2022-05-27,MIA,Boston Celtics,#008348,Miami Heat,#98002e,Boston Celtics Vs. Miami Heat,<span style='color:#98002e';>Miami Heat</span>,<span style='color:#008348';>Boston Celtics</span>,#008348,BOS,4,-13,MIA,BOS
5:59,V. Oladipo makes 3-pt jump shot from 27 ft (assist by K. Lowry),17.98,3rd Quarter,+3,67-58,NA,BOS,MIA,67,58,-9,2022-05-27,MIA,Boston Celtics,#008348,Miami Heat,#98002e,Boston Celtics Vs. Miami Heat,<span style='color:#98002e';>Miami Heat</span>,<span style='color:#008348';>Boston Celtics</span>,#98002e,MIA,4,-13,MIA,BOS
5:31,M. Strus makes 3-pt jump shot from 27 ft (assist by K. Lowry),17.52,3rd Quarter,+3,70-58,NA,BOS,MIA,70,58,-12,2022-05-27,MIA,Boston Celtics,#008348,Miami Heat,#98002e,Boston Celtics Vs. Miami Heat,<span style='color:#98002e';>Miami Heat</span>,<span style='color:#008348';>Boston Celtics</span>,#98002e,MIA,4,-13,MIA,BOS
5:17,D. White makes 2-pt layup from 3 ft,17.28,3rd Quarter,NA,70-60,+2,BOS,MIA,70,60,-10,2022-05-27,MIA,Boston Celtics,#008348,Miami Heat,#98002e,Boston Celtics Vs. Miami Heat,<span style='color:#98002e';>Miami Heat</span>,<span style='color:#008348';>Boston Celtics</span>,#008348,BOS,4,-13,MIA,BOS
4:37,R. Williams makes free throw 1 of 2,16.62,3rd Quarter,NA,70-61,+1,BOS,MIA,70,61,-9,2022-05-27,MIA,Boston Celtics,#008348,Miami Heat,#98002e,Boston Celtics Vs. Miami Heat,<span style='color:#98002e';>Miami Heat</span>,<span style='color:#008348';>Boston Celtics</span>,#008348,BOS,4,-13,MIA,BOS
