player,rolling_avg_pts,rolling_avg_ts_percent,rolling_avg_mvp_calc,rolling_avg_plusminus,team,season_avg_ppg,season_ts_percent,season_avg_plusminus,player_mvp_calc_adj,ppg_differential,ppg_diff_rank,ts_differential,ts_diff_rank,plusminus_differential,plusminus_diff_rank,mvp_calc_differential,mvp_calc_diff_rank
Grayson Allen,9.7,0.509,14.2,-0.4,MIL,11.1,0.609,3.5,17.8,-1.4,461st,-0.1,523rd,-3.9,520th,-3.6,517th
Isaiah Thomas,7,0.516,9.5,0.1,CHA,8.4,0.516,-0.5,8.33,-1.4,462nd,0,304th,0.6,170th,1.17,282nd
Kessler Edwards,4.4,0.44,8.9,2.7,BKN,5.9,0.516,-1.4,6.68,-1.5,463rd,-0.076,495th,4.1,37th,2.22,210th
Sterling Brown,1.8,0.455,3.6,-0.7,DAL,3.3,0.495,0.7,4.73,-1.5,464th,-0.04,416th,-1.4,402nd,-1.13,451st
Kent Bazemore,1.9,0.398,1.8,-3.7,LAL,3.4,0.451,-3,3.68,-1.5,465th,-0.053,443rd,-0.7,350th,-1.88,481st
Tobias Harris,15.7,0.549,22.5,-5.1,PHI,17.2,0.566,2.5,27.1,-1.5,466th,-0.017,353rd,-7.6,580th,-4.6,542nd
Dalano Banton,1.7,0.66,2.9,-1.1,TOR,3.2,0.463,0.5,6.43,-1.5,467th,0.197,19th,-1.6,417th,-3.53,516th
Charles Bassey,1.5,0.449,2.8,-2.2,PHI,3,0.66,-1,4.28,-1.5,468th,-0.211,587th,-1.2,387th,-1.48,467th
Davis Bertans,4.1,0.56,6.9,1.1,DAL,5.6,0.531,0.5,6.56,-1.5,469th,0.029,198th,0.6,167th,0.34,351st
Lou Williams,4.8,0.433,8.6,1,ATL,6.3,0.5,0.3,8,-1.5,470th,-0.067,469th,0.7,165th,0.6,333rd
Austin Rivers,4.5,0.479,6.8,-1.9,DEN,6,0.547,0.8,9.8,-1.5,471st,-0.068,472nd,-2.7,480th,-3,505th
T.J. McConnell,7,0.48,16.4,-1.9,IND,8.5,0.525,-2.7,13.05,-1.5,472nd,-0.045,430th,0.8,155th,3.35,159th
Romeo Langford,3,0.391,5.6,3.3,SAS,4.5,0.52,0.1,5.55,-1.5,473rd,-0.129,552nd,3.2,58th,0.05,387th
Mike Conley,12.1,0.445,22.2,0,UTA,13.7,0.572,4.5,26.2,-1.6,474th,-0.127,548th,-4.5,537th,-4,528th
Mikal Bridges,12.6,0.542,22,-1.1,PHX,14.2,0.627,7,25.1,-1.6,475th,-0.085,505th,-8.1,586th,-3.1,506th
JT Thor,0.4,0.367,-0.2,-2,CHA,2,0.525,-0.2,3.08,-1.6,476th,-0.158,572nd,-1.8,430th,-3.28,510th
Aaron Holiday,4.7,0.611,11.2,4.4,PHX,6.3,0.544,-0.6,10.06,-1.6,477th,0.067,99th,5,22nd,1.14,284th
Jae'Sean Tate,10.2,0.543,14.7,-1.8,HOU,11.8,0.567,-5.2,16.4,-1.6,478th,-0.024,378th,3.4,52nd,-1.7,473rd
Brandon Goodwin,3.2,0.539,-1,-8.7,CLE,4.8,0.501,-1.5,6.45,-1.6,479th,0.038,172nd,-7.2,578th,-7.45,580th
Matt Thomas,2.3,0.647,4.5,2.1,CHI,3.9,0.564,0.8,4.43,-1.6,480th,0.083,83rd,1.3,135th,0.07,381st
Enes Freedom,2.1,0.544,3.7,-0.5,BOS,3.7,0.585,2,5.63,-1.6,481st,-0.041,422nd,-2.5,470th,-1.93,482nd
Eric Paschall,4.1,0.658,4.7,-1.3,UTA,5.8,0.612,-0.7,5.88,-1.7,482nd,0.046,150th,-0.6,346th,-1.18,454th
Cameron Johnson,10.8,0.622,14.9,-1.1,PHX,12.5,0.625,3.3,19.5,-1.7,483rd,-0.003,317th,-4.4,530th,-4.6,541st
Juwan Morgan,0.8,0.55,-0.4,-3.4,BOS,2.5,0.833,-8.5,0,-1.7,484th,-0.283,597th,5.1,21st,-0.4,416th
D'Angelo Russell,16.4,0.53,26.4,-2.2,MIN,18.1,0.544,3.2,30.18,-1.7,485th,-0.014,347th,-5.4,551st,-3.78,520th
Kevin Huerter,10.3,0.525,15.5,-5.2,ATL,12.1,0.57,2.3,19.3,-1.8,486th,-0.045,431st,-7.5,579th,-3.8,522nd
Myles Turner,11.1,0.507,16.5,-9.4,IND,12.9,0.613,-0.3,17.1,-1.8,487th,-0.106,532nd,-9.1,592nd,-0.6,428th
Gary Harris,9.3,0.587,14.4,3.8,ORL,11.1,0.571,-3.4,12.42,-1.8,488th,0.016,232nd,7.2,8th,1.98,223rd
Terry Rozier,17.5,0.524,25.9,-3.8,CHA,19.3,0.566,1,29.9,-1.8,489th,-0.042,425th,-4.8,540th,-4,527th
Nikola Vucevic,15.7,0.485,19.6,-10.7,CHI,17.6,0.533,-0.7,28.7,-1.9,490th,-0.048,436th,-10,599th,-9.1,591st
Blake Griffin,4.5,0.482,6.5,-1.7,BKN,6.4,0.52,-1.5,8.96,-1.9,491st,-0.038,414th,-0.2,324th,-2.46,490th
Trey Burke,3.2,0.66,3.3,-1.5,DAL,5.1,0.475,-0.2,5.25,-1.9,492nd,0.185,23rd,-1.3,399th,-1.95,484th
Jarred Vanderbilt,5,0.515,9.1,-3.9,MIN,6.9,0.612,2.2,16.6,-1.9,493rd,-0.097,519th,-6.1,565th,-7.5,581st
Cody Martin,5.8,0.644,11.6,-3.1,CHA,7.7,0.579,-0.4,15.4,-1.9,494th,0.065,105th,-2.7,481st,-3.8,521st
Paul George,22.5,0.553,40.6,7.2,LAC,24.4,0.538,3.1,27.68,-1.9,495th,0.015,235th,4.1,39th,12.92,17th
Bismack Biyombo,3.9,0.606,7.1,1.6,PHX,5.8,0.596,1.4,8.25,-1.9,496th,0.01,246th,0.2,193rd,-1.15,453rd
Carmelo Anthony,11.4,0.502,12.7,-5.4,LAL,13.3,0.579,-1.3,17.8,-1.9,497th,-0.077,497th,-4.1,522nd,-5.1,548th
Terance Mann,8.8,0.625,17.9,5.5,LAC,10.8,0.573,0.8,18,-2,498th,0.052,136th,4.7,29th,-0.1,399th
Joe Ingles,5.2,0.372,11.3,-1.7,UTA,7.2,0.551,3.9,11.7,-2,499th,-0.179,579th,-5.6,555th,-0.4,415th
Jonathan Kuminga,7.3,0.569,8.6,-1,GSW,9.3,0.6,0.4,12.5,-2,500th,-0.031,402nd,-1.4,403rd,-3.9,525th
Nick Richards,1,0.422,0.2,-1.8,CHA,3,0.689,-2.2,2.7,-2,501st,-0.267,595th,0.4,181st,-2.5,491st
John Konchar,2.8,0.344,4.2,-7,MEM,4.8,0.615,1.3,11.4,-2,502nd,-0.271,596th,-8.3,588th,-7.2,574th
Frank Ntilikina,2,0.451,3.5,-1.8,DAL,4.1,0.513,1.1,6.3,-2.1,503rd,-0.062,462nd,-2.9,493rd,-2.8,500th
CJ McCollum,20,0.436,27.3,-2.2,NOP,22.1,0.553,-1.1,28.7,-2.1,504th,-0.117,539th,-1.1,376th,-1.4,465th
Omer Yurtseven,3.2,0.647,5.5,1.1,MIA,5.3,0.546,1.1,8.08,-2.1,505th,0.101,59th,0,239th,-2.58,493rd
Boban Marjanovic,2.3,0.431,2.4,-0.1,DAL,4.5,0.615,1.6,4.2,-2.2,506th,-0.184,580th,-1.7,426th,-1.8,478th
Alex Len,3.8,0.562,6.4,-0.6,SAC,6,0.577,-1.9,6.9,-2.2,507th,-0.015,348th,1.3,131st,-0.5,425th
David Duke,2.5,0.498,3.8,-2.6,BKN,4.7,0.444,-0.5,6.23,-2.2,508th,0.054,128th,-2.1,444th,-2.43,489th
Jevon Carter,2,0.531,8.5,7.2,MIL,4.2,0.531,-0.9,7.2,-2.2,509th,0,302nd,8.1,4th,1.3,273rd
Garrett Temple,3,0.42,5.7,-0.1,NOP,5.2,0.495,-5.5,5.76,-2.2,510th,-0.075,491st,5.4,16th,-0.06,394th
Royce O'Neale,5.1,0.484,3.9,-9.9,UTA,7.4,0.608,2.8,16.4,-2.3,511st,-0.124,544th,-12.7,604th,-12.5,603rd
Skylar Mays,0.6,0.6,0.7,-0.6,ATL,2.9,0.589,-1.9,2.4,-2.3,512nd,0.011,244th,1.3,128th,-1.7,474th
Tristan Thompson,3.7,0.478,3.2,-4.7,CHI,6,0.541,-1.1,7.54,-2.3,513rd,-0.063,466th,-3.6,509th,-4.34,537th
Harrison Barnes,14.1,0.547,16.4,-4.4,SAC,16.4,0.623,-4.9,19.8,-2.3,514th,-0.076,496th,0.5,178th,-3.4,511st
Caris LeVert,14.7,0.522,23.5,-2.2,CLE,17,0.525,-1.1,20.58,-2.3,515th,-0.003,320th,-1.1,378th,2.92,182nd
Robin Lopez,4.8,0.53,7,-1.1,ORL,7.1,0.57,-1.8,7.05,-2.3,516th,-0.04,417th,0.7,160th,-0.05,393rd
Matisse Thybulle,3.4,0.734,5.2,-5.3,PHI,5.7,0.594,1.3,14,-2.3,517th,0.14,40th,-6.6,571st,-8.8,589th
Terrence Ross,7.7,0.437,8.3,-4.2,ORL,10,0.515,-5.5,10.06,-2.3,518th,-0.078,499th,1.3,132nd,-1.76,476th
Kelan Martin,3.4,0.339,4,-2.6,BOS,5.7,0.484,-1.8,5.63,-2.3,519th,-0.145,560th,-0.8,358th,-1.63,472nd
Hassan Whiteside,5.8,0.562,13.3,-1,UTA,8.2,0.662,3.4,16.56,-2.4,520th,-0.1,524th,-4.4,532nd,-3.26,509th
Yuta Watanabe,1.9,0.336,3.3,-0.3,TOR,4.3,0.524,-1.3,4.8,-2.4,521st,-0.188,582nd,1,147th,-1.5,469th
Evan Fournier,11.7,0.455,19.7,2.2,NYK,14.1,0.554,-1.2,18.5,-2.4,522nd,-0.099,522nd,3.4,53rd,1.2,280th
Brandon Williams,10.5,0.396,11.2,-16.8,POR,12.9,0.476,-11.3,10.35,-2.4,523rd,-0.08,500th,-5.5,552nd,0.85,306th
Naz Reid,5.9,0.447,6.3,-3.8,MIN,8.3,0.587,-1.2,12.3,-2.4,524th,-0.14,556th,-2.6,474th,-6,564th
Victor Oladipo,10,0.454,15.3,-1.1,MIA,12.4,0.608,-0.6,12.98,-2.4,525th,-0.154,568th,-0.5,343rd,2.32,204th
Garrison Mathews,7.5,0.499,11.6,-3.8,HOU,10,0.602,-3.3,12.54,-2.5,526th,-0.103,529th,-0.5,339th,-0.94,445th
LaMarcus Aldridge,10.4,0.542,12.4,-5.3,BKN,12.9,0.602,0.7,13.95,-2.5,527th,-0.06,457th,-6,560th,-1.55,470th
Raul Neto,5,0.707,7.2,-2.5,WAS,7.5,0.538,-1.3,12.4,-2.5,528th,0.169,27th,-1.2,382nd,-5.2,550th
Malik Beasley,9.6,0.518,8.5,-7.1,MIN,12.1,0.544,1,16.8,-2.5,529th,-0.026,387th,-8.1,585th,-8.3,586th
Rayjon Tucker,1.7,0.634,2.8,-1.3,MIL,4.2,0.869,-0.4,6.83,-2.5,530th,-0.235,592nd,-0.9,362nd,-4.03,529th
Seth Curry,12.4,0.592,18.1,0.6,BKN,15,0.615,3.5,22.37,-2.6,531st,-0.023,373rd,-2.9,487th,-4.27,535th
DeMar DeRozan,25.3,0.542,26.9,-13.1,CHI,27.9,0.59,1,37.2,-2.6,532nd,-0.048,438th,-14.1,605th,-10.3,597th
Alex Caruso,4.7,0.37,16.7,-0.4,CHI,7.4,0.526,2.7,14.03,-2.7,533rd,-0.156,570th,-3.1,498th,2.67,193rd
Jalen Suggs,9.1,0.394,14.7,-2.5,ORL,11.8,0.455,-4.3,12.53,-2.7,534th,-0.061,460th,1.8,107th,2.17,215th
Malachi Flynn,1.6,0.197,2.9,-1.6,TOR,4.3,0.488,-0.6,5.78,-2.7,535th,-0.291,600th,-1,373rd,-2.88,502nd
Kyle Guy,1.2,0.196,-1,-4.8,MIA,3.9,0.526,-2.5,3.15,-2.7,536th,-0.33,603rd,-2.3,456th,-4.15,532nd
Cedi Osman,8,0.522,9.4,-3.8,CLE,10.7,0.562,-0.9,14.8,-2.7,537th,-0.04,420th,-2.9,489th,-5.4,553rd
Saddiq Bey,13.3,0.47,17.4,-4.6,DET,16.1,0.529,-6.1,20.4,-2.8,538th,-0.059,455th,1.5,116th,-3,504th
JaVale McGee,6.4,0.605,9.1,-1.3,PHX,9.2,0.651,1.6,15,-2.8,539th,-0.046,432nd,-2.9,491st,-5.9,562nd
Javonte Green,4.3,0.384,9.5,-0.5,CHI,7.2,0.637,0.3,12.94,-2.9,540th,-0.253,594th,-0.8,356th,-3.44,512nd
Dennis Schroder,10.6,0.556,15.5,-4.9,HOU,13.5,0.539,-0.5,19.58,-2.9,541st,0.017,229th,-4.4,527th,-4.08,531st
Onyeka Okongwu,5.3,0.704,12.4,3.7,ATL,8.2,0.714,2.3,12.23,-2.9,542nd,-0.01,333rd,1.4,120th,0.17,374th
Karl-Anthony Towns,21.7,0.624,29.2,-1.5,MIN,24.6,0.641,3.7,36.4,-2.9,543rd,-0.017,354th,-5.2,549th,-7.2,575th
Cam Reddish,7.1,0.577,9.7,-2.1,NYK,10.1,0.543,-4.4,8.48,-3,544th,0.034,181st,2.3,84th,1.22,277th
Derrick White,10.2,0.496,21.7,5.9,BOS,13.2,0.549,2.7,24.5,-3,545th,-0.053,445th,3.2,57th,-2.8,499th
Coby White,9.7,0.456,8.8,-8.3,CHI,12.7,0.564,-0.6,16.02,-3,546th,-0.108,534th,-7.7,581st,-7.22,576th
Dewayne Dedmon,3.2,0.502,4,-0.9,MIA,6.3,0.632,0.7,11,-3.1,547th,-0.13,554th,-1.6,416th,-7,573rd
Serge Ibaka,3.7,0.461,4.7,-1.8,MIL,6.8,0.579,-1,7.9,-3.1,548th,-0.118,542nd,-0.8,357th,-3.2,507th
Bobby Portis,11.5,0.504,18.3,3,MIL,14.6,0.572,4.4,24.1,-3.1,549th,-0.068,475th,-1.4,404th,-5.8,560th
Marcus Morris,12.3,0.461,14.9,-3.8,LAC,15.4,0.549,-2.6,14.59,-3.1,550th,-0.088,511st,-1.2,380th,0.31,354th
Justin Holiday,6.9,0.467,6.9,-8.9,SAC,10.1,0.543,-2.8,13.6,-3.2,551st,-0.076,493rd,-6.1,563rd,-6.7,571st
Isaac Okoro,5.6,0.518,10.4,-1.7,CLE,8.8,0.589,1.5,14.7,-3.2,552nd,-0.071,482nd,-3.2,500th,-4.3,536th
Nemanja Bjelica,2.9,0.616,6.4,0.4,GSW,6.1,0.573,2,12.6,-3.2,553rd,0.043,161st,-1.6,419th,-6.2,566th
Aaron Nesmith,0.5,0.333,1.4,-1.4,BOS,3.8,0.507,0.4,4.13,-3.3,554th,-0.174,577th,-1.8,428th,-2.73,497th
Juan Toscano-Anderson,0.8,0.419,1.3,-0.9,GSW,4.1,0.561,0.8,8.7,-3.3,555th,-0.142,558th,-1.7,425th,-7.4,578th
James Harden,18.7,0.59,28.9,-1.4,PHI,22,0.583,3,39,-3.3,556th,0.007,256th,-4.4,528th,-10.1,596th
Svi Mykhailiuk,1.3,0.219,0.8,-1.3,TOR,4.6,0.509,-1.4,4.88,-3.3,557th,-0.29,599th,0.1,202nd,-4.08,530th
Jeff Green,6.9,0.643,10.7,-0.1,DEN,10.3,0.627,0.8,14.3,-3.4,558th,0.016,231st,-0.9,369th,-3.6,518th
James Johnson,2.1,0.486,6.7,-2.3,BKN,5.5,0.515,-1,9.94,-3.4,559th,-0.029,393rd,-1.3,398th,-3.24,508th
Devin Booker,23.3,0.581,28.2,-2.2,PHX,26.8,0.576,6.9,39.5,-3.5,560th,0.005,260th,-9.1,593rd,-11.3,601st
Shake Milton,4.7,0.588,8.3,1.5,PHI,8.2,0.517,-0.1,10.69,-3.5,561st,0.071,93rd,1.6,115th,-2.39,488th
Armoni Brooks,1.7,0.269,4.7,-0.1,TOR,5.3,0.483,-1.5,6.08,-3.6,562nd,-0.214,589th,1.4,121st,-1.38,461st
Khris Middleton,16.5,0.538,27.9,3.1,MIL,20.1,0.576,4.6,31.7,-3.6,563rd,-0.038,413rd,-1.5,412nd,-3.8,523rd
Steven Adams,3.3,0.477,12.3,1.2,MEM,6.9,0.561,4.6,20.4,-3.6,564th,-0.084,504th,-3.4,503rd,-8.1,583rd
George Hill,2.6,0.48,3.6,-3.8,MIL,6.2,0.552,5.8,11.02,-3.6,565th,-0.072,484th,-9.6,596th,-7.42,579th
Jaxson Hayes,5.7,0.517,6,-4.5,NOP,9.3,0.679,0.3,14.1,-3.6,566th,-0.162,574th,-4.8,542nd,-8.1,585th
Bryn Forbes,5.2,0.481,6.4,-1.8,DEN,8.8,0.575,0.5,10.9,-3.6,567th,-0.094,515th,-2.3,455th,-4.5,540th
DeAndre' Bembry,1.5,0.28,2.5,-4.6,MIL,5.1,0.598,-0.2,8,-3.6,568th,-0.318,602nd,-4.4,526th,-5.5,556th
Torrey Craig,2.8,0.343,4.1,-3.6,PHX,6.6,0.557,-2.4,10,-3.8,569th,-0.214,588th,-1.2,384th,-5.9,563rd
Jordan Poole,14.7,0.635,20.4,1.8,GSW,18.5,0.598,4.2,26.8,-3.8,570th,0.037,174th,-2.4,460th,-6.4,570th
Furkan Korkmaz,3.7,0.664,6.9,2.2,PHI,7.6,0.502,0.7,12.2,-3.9,571st,0.162,30th,1.5,119th,-5.3,552nd
Jonas Valanciunas,13.9,0.597,21.3,-1.2,NOP,17.8,0.617,0.9,26.9,-3.9,572nd,-0.02,362nd,-2.1,443rd,-5.6,558th
Eric Gordon,9.4,0.584,11.1,-0.2,HOU,13.4,0.614,-3.1,12.87,-4,573rd,-0.03,395th,2.9,70th,-1.77,477th
Brook Lopez,8.4,0.482,13.5,-3.7,MIL,12.4,0.57,-0.5,12.75,-4,574th,-0.088,509th,-3.2,499th,0.75,317th
Cam Thomas,4.5,0.477,4.9,-3,BKN,8.5,0.519,-2.1,10.4,-4,575th,-0.042,424th,-0.9,368th,-5.5,554th
Landry Shamet,4.2,0.467,6.3,-1.6,PHX,8.3,0.55,2,12.7,-4.1,576th,-0.083,501st,-3.6,510th,-6.4,569th
Zach LaVine,20.2,0.564,22.8,-9.6,CHI,24.4,0.606,-0.4,31.4,-4.2,577th,-0.042,426th,-9.2,594th,-8.6,588th
Kemba Walker,7.3,0.392,11.3,-4.7,NYK,11.6,0.537,-4.9,11.93,-4.3,578th,-0.145,559th,0.2,196th,-0.63,433rd
Josh Green,0.5,0.458,0.9,-0.2,DAL,4.8,0.578,1,9,-4.3,579th,-0.12,543rd,-1.2,383rd,-8.1,584th
Bam Adebayo,14.8,0.66,23.6,0.9,MIA,19.1,0.608,5.4,25.84,-4.3,580th,0.052,134th,-4.5,535th,-2.24,487th
Gordon Hayward,11.4,0.508,19.9,1.8,CHA,15.9,0.57,-0.4,17.78,-4.5,581st,-0.062,461st,2.2,89th,2.12,218th
Caleb Martin,4.6,0.483,4.7,-3.9,MIA,9.2,0.611,2.6,13.73,-4.6,582nd,-0.128,549th,-6.5,569th,-9.03,590th
Patty Mills,6.8,0.709,10.6,4.4,BKN,11.4,0.562,1.6,16.9,-4.6,583rd,0.147,37th,2.8,72nd,-6.3,568th
Georges Niang,4.5,0.573,7.5,2.1,PHI,9.2,0.594,1.1,13.1,-4.7,584th,-0.021,364th,1,149th,-5.6,557th
Dillon Brooks,13.7,0.368,22.5,6.1,MEM,18.4,0.515,6.4,20.85,-4.7,585th,-0.147,563rd,-0.3,328th,1.65,246th
Montrezl Harrell,8.4,0.72,15.3,3.8,CHA,13.2,0.68,1.2,20.3,-4.8,586th,0.04,168th,2.6,76th,-5,547th
Facundo Campazzo,0.3,0.094,0.8,-1.1,DEN,5.1,0.503,-3.2,10.39,-4.8,587th,-0.409,604th,2.1,93rd,-9.59,593rd
Damion Lee,2.6,0.528,3.5,-1.3,GSW,7.4,0.561,1.1,10.9,-4.8,588th,-0.033,406th,-2.4,465th,-7.4,577th
Daniel Theis,3.3,0.7,3.6,-4,BOS,8.2,0.595,-1.9,8.78,-4.9,589th,0.105,53rd,-2.1,442nd,-5.18,549th
Kelly Oubre,10.1,0.563,14.8,1.9,CHA,15,0.559,-0.3,20,-4.9,590th,0.004,263rd,2.2,88th,-5.2,551st
Jordan Nwora,2.9,0.217,2.8,-3.5,MIL,7.9,0.506,-1.2,9.57,-5,591st,-0.289,598th,-2.3,459th,-6.77,572nd
Cole Anthony,11.3,0.448,17.5,-4.6,ORL,16.3,0.519,-3.5,23.23,-5,592nd,-0.071,480th,-1.1,377th,-5.73,559th
De'Anthony Melton,5.6,0.331,10.6,0.6,MEM,10.8,0.529,3,20.2,-5.2,593rd,-0.198,585th,-2.4,467th,-9.6,594th
Trae Young,23.2,0.527,30.7,-0.3,ATL,28.4,0.603,2.1,42,-5.2,594th,-0.076,494th,-2.4,468th,-11.3,600th
Richaun Holmes,4.9,0.572,6.9,-1.7,SAC,10.4,0.687,-3,11.1,-5.5,595th,-0.115,538th,1.3,130th,-4.2,534th
Kyle Lowry,7.8,0.357,18.2,1.6,MIA,13.4,0.6,4,25.94,-5.6,596th,-0.243,593rd,-2.4,466th,-7.74,582nd
Fred VanVleet,14.6,0.493,29.4,1.8,TOR,20.3,0.552,3.3,34.1,-5.7,597th,-0.059,453rd,-1.5,405th,-4.7,543rd
Nickeil Alexander-Walker,4.9,0.59,10,3.2,UTA,10.6,0.475,-1.7,14.5,-5.7,598th,0.115,50th,4.9,23rd,-4.5,539th
Dwight Powell,2.5,0.59,5.6,2.1,DAL,8.7,0.724,0.9,14.1,-6.2,599th,-0.134,555th,1.2,139th,-8.5,587th
Cameron Payne,4.3,0.284,7.3,-1.9,PHX,10.8,0.5,2.6,16.97,-6.5,600th,-0.216,590th,-4.5,539th,-9.67,595th
Duncan Robinson,4,0.449,6.4,-0.3,MIA,10.9,0.573,1.3,15.6,-6.9,601st,-0.124,546th,-1.6,421st,-9.2,592nd
Joel Embiid,23.6,0.591,31.1,2.8,PHI,30.6,0.616,5.4,45.9,-7,602nd,-0.025,379th,-2.6,477th,-14.8,605th
John Collins,8.8,0.461,8.1,-9,ATL,16.2,0.611,0.7,18.85,-7.4,603rd,-0.15,565th,-9.7,597th,-10.75,599th
Devonte' Graham,4.1,0.386,6.2,-0.6,NOP,11.9,0.514,0.5,19.6,-7.8,604th,-0.128,550th,-1.1,379th,-13.4,604th
Tyler Herro,12.5,0.459,16.1,-2.8,MIA,20.7,0.561,3.6,28.6,-8.2,605th,-0.102,527th,-6.4,568th,-12.5,602nd
