player,rolling_avg_pts,rolling_avg_ts_percent,rolling_avg_mvp_calc,rolling_avg_plusminus,team,season_avg_ppg,season_ts_percent,season_avg_plusminus,player_mvp_calc_adj,ppg_differential,ppg_diff_rank,ts_differential,ts_diff_rank,plusminus_differential,plusminus_diff_rank,mvp_calc_differential,mvp_calc_diff_rank
Jeremy Lamb,7.2,0.559,10.5,-2.3,SAC,7.3,0.521,0.3,9.52,-0.1,356th,0.038,170th,-2.6,476th,0.98,297th
Justin Robinson,3,0.301,0.8,-7.3,DET,3.1,0.404,-4.9,2.1,-0.1,357th,-0.103,531st,-2.4,463rd,-1.3,459th
Al Horford,10.1,0.605,27.8,7.7,BOS,10.2,0.574,5.6,24.5,-0.1,358th,0.031,188th,2.1,95th,3.3,161st
Gary Clark,2.6,0.477,5,0.7,NOP,2.7,0.547,-0.5,3.75,-0.1,359th,-0.07,478th,1.2,137th,1.25,276th
Collin Sexton,15.9,0.515,17.5,-1.6,CLE,16,0.526,-2.7,12.68,-0.1,360th,-0.011,336th,1.1,145th,4.82,105th
Theo Pinson,2.3,0.543,2.4,-1.3,DAL,2.5,0.553,-2.2,2.78,-0.2,361st,-0.01,334th,0.9,153rd,-0.38,414th
Gabe Vincent,8.5,0.494,15.3,3.7,MIA,8.7,0.551,1.5,15,-0.2,362nd,-0.057,448th,2.2,86th,0.3,357th
Monte Morris,12.4,0.58,20.1,-4.8,DEN,12.6,0.583,3.8,22.9,-0.2,363rd,-0.003,319th,-8.6,589th,-2.8,501st
Abdel Nader,2.2,0.36,4.8,0.4,PHX,2.4,0.431,-0.1,3.45,-0.2,364th,-0.071,483rd,0.5,177th,1.35,267th
Dean Wade,5.1,0.5,10.8,3.8,CLE,5.3,0.584,0.7,7.2,-0.2,365th,-0.084,503rd,3.1,63rd,3.6,147th
Jaylen Brown,23.4,0.581,33.5,7.8,BOS,23.6,0.574,6.9,33.9,-0.2,366th,0.007,255th,0.9,152nd,-0.4,417th
Andrew Wiggins,17,0.566,28,5.6,GSW,17.2,0.56,3.5,25.7,-0.2,367th,0.006,257th,2.1,94th,2.3,207th
Paul Millsap,3.3,0.439,4.3,-2.9,PHI,3.5,0.458,-0.8,5.03,-0.2,368th,-0.019,359th,-2.1,446th,-0.73,438th
Nerlens Noel,3.2,0.679,9.6,-4.7,NYK,3.4,0.581,-2.7,7.35,-0.2,369th,0.098,63rd,-2,436th,2.25,209th
P.J. Tucker,7.4,0.497,13.9,-1.2,MIA,7.6,0.593,3.2,15.7,-0.2,370th,-0.096,517th,-4.4,531st,-1.8,480th
Will Barton,14.5,0.536,19.9,-2.2,DEN,14.7,0.548,1.4,23.4,-0.2,371st,-0.012,338th,-3.6,506th,-3.5,515th
Cody Zeller,4.9,0.569,9.3,0.3,POR,5.2,0.627,-1,6.15,-0.3,372nd,-0.058,449th,1.3,127th,3.15,171st
Rajon Rondo,4.5,0.511,8.4,-7.9,CLE,4.8,0.494,-2.8,7.95,-0.3,373rd,0.017,228th,-5.1,547th,0.45,344th
Maxi Kleber,6.7,0.633,13,-0.1,DAL,7,0.537,2,12.47,-0.3,374th,0.096,64th,-2.1,448th,0.53,335th
Quinndary Weatherspoon,2.4,0.483,3.4,-0.2,GSW,2.7,0.647,-0.9,2.63,-0.3,375th,-0.164,575th,0.7,161st,0.77,314th
Derrick Jones,5.3,0.664,6.3,-2.6,CHI,5.6,0.633,0.8,7.5,-0.3,376th,0.031,187th,-3.4,504th,-1.2,456th
Willy Hernangomez,8.9,0.49,14,-0.3,NOP,9.2,0.584,-0.9,10.65,-0.3,377th,-0.094,516th,0.6,168th,3.35,158th
Chris Duarte,12.8,0.568,12.5,-7.1,IND,13.1,0.537,-1,13.81,-0.3,378th,0.031,191st,-6.1,566th,-1.31,460th
Markus Howard,3.8,0.541,3.3,-2.6,DEN,4.1,0.567,-0.4,3.45,-0.3,379th,-0.026,388th,-2.2,452nd,-0.15,407th
Xavier Tillman,4.5,0.665,4.3,-6.5,MEM,4.8,0.51,-0.5,6.98,-0.3,380th,0.155,33rd,-6,561st,-2.68,496th
Max Strus,10.3,0.474,16.3,0.1,MIA,10.6,0.614,2.5,15.4,-0.3,381st,-0.14,557th,-2.4,461st,0.9,305th
Daishen Nix,2.8,0.418,3.6,-3.2,HOU,3.2,0.48,-1.9,3.75,-0.4,382nd,-0.062,463rd,-1.3,390th,-0.15,408th
Alize Johnson,1.4,0.254,3.1,1,NOP,1.8,0.474,-2,1.8,-0.4,383rd,-0.22,591st,3,66th,1.3,274th
Jakob Poeltl,13.1,0.616,25,2.1,SAS,13.5,0.613,1.7,25.5,-0.4,384th,0.003,269th,0.4,180th,-0.5,422nd
Gary Payton,6.7,0.71,13.7,2.5,GSW,7.1,0.679,2.4,13.8,-0.4,385th,0.031,189th,0.1,201st,-0.1,398th
Solomon Hill,0.2,0.071,4,1.8,ATL,0.6,0.2,3.2,3.98,-0.4,386th,-0.129,553rd,-1.4,401st,0.02,389th
Gary Trent,17.9,0.485,22.6,-1.6,TOR,18.3,0.546,2.5,26.5,-0.4,387th,-0.061,459th,-4.1,523rd,-3.9,526th
Lindell Wigginton,3.8,0.347,5.1,-2.7,MIL,4.2,0.524,-2.5,3.9,-0.4,388th,-0.177,578th,-0.2,325th,1.2,279th
RJ Nembhard,0.7,0.274,0.6,-1.7,CLE,1.1,0.38,-0.5,1.65,-0.4,389th,-0.106,533rd,-1.2,381st,-1.05,448th
Kenyon Martin,8.4,0.601,12.9,0,HOU,8.8,0.604,-3,11.8,-0.4,390th,-0.003,318th,3,69th,1.1,291st
Derrick Rose,11.6,0.478,19.2,-2.3,NYK,12,0.541,3.5,16.13,-0.4,391st,-0.063,465th,-5.8,557th,3.07,174th
Jarrett Culver,3.1,0.391,2.4,-4.5,MEM,3.5,0.433,-0.5,4.35,-0.4,392nd,-0.042,427th,-4,521st,-1.95,483rd
Eric Bledsoe,9.4,0.619,18.3,2.1,LAC,9.9,0.514,-0.5,13.38,-0.5,393rd,0.105,54th,2.6,77th,4.92,99th
Kyrie Irving,26.9,0.609,41.6,3.7,BKN,27.4,0.592,4.2,30.45,-0.5,394th,0.017,230th,-0.5,344th,11.15,22nd
Devontae Cacok,2.6,0.676,5.4,-1.8,SAS,3.1,0.675,-0.1,5.03,-0.5,395th,0.001,278th,-1.7,423rd,0.37,349th
Ed Davis,0.4,1.064,2.2,1.3,CLE,0.9,0.632,0.6,2.33,-0.5,396th,0.432,10th,0.7,164th,-0.13,406th
Taurean Prince,6.8,0.435,7.4,-5.7,MIN,7.3,0.588,-0.1,10.9,-0.5,397th,-0.153,567th,-5.6,554th,-3.5,514th
Jay Scrubb,2.2,0.453,4,1.2,LAC,2.7,0.486,0.7,3.3,-0.5,398th,-0.033,407th,0.5,176th,0.7,325th
Moses Moody,3.9,0.673,5.8,0.7,GSW,4.4,0.573,-0.6,4.35,-0.5,399th,0.1,62nd,1.3,133rd,1.45,261st
Jaren Jackson,15.7,0.532,26.3,3.4,MEM,16.3,0.535,4.6,27,-0.6,400th,-0.003,321st,-1.2,389th,-0.7,435th
Naji Marshall,5.1,0.744,5.9,-3.5,NOP,5.7,0.505,-0.9,6.55,-0.6,401st,0.239,17th,-2.6,475th,-0.65,434th
Jock Landale,4.3,0.602,6.6,-0.8,SAS,4.9,0.597,-0.3,5.55,-0.6,402nd,0.005,261st,-0.5,337th,1.05,292nd
Hamidou Diallo,10.4,0.523,14.7,-2.7,DET,11,0.541,-3.6,12.6,-0.6,403rd,-0.018,358th,0.9,154th,2.1,219th
Javonte Smart,2.4,0.107,2.8,-4,MIA,3,0.407,-2.5,3,-0.6,404th,-0.3,601st,-1.5,407th,-0.2,410th
Avery Bradley,5.8,0.636,5.5,-4.6,LAL,6.4,0.55,-2.9,7.54,-0.6,405th,0.086,77th,-1.7,424th,-2.04,485th
Keifer Sykes,5,0.435,7.3,-1,IND,5.6,0.456,-2.2,5.7,-0.6,406th,-0.021,366th,1.2,141st,1.6,251st
Malcolm Hill,3.2,0.426,4.5,-1.5,CHI,3.8,0.619,-1.6,3.98,-0.6,407th,-0.193,584th,0.1,198th,0.52,337th
Dylan Windler,1.6,0.431,3.7,-0.7,CLE,2.2,0.519,-0.2,3.15,-0.6,408th,-0.088,510th,-0.5,338th,0.55,334th
Luke Kornet,1.4,0.582,3.3,-0.3,BOS,2,0.506,1.5,4.13,-0.6,409th,0.076,86th,-1.8,429th,-0.83,443rd
Jarrett Allen,15.4,0.786,20.9,-3.7,CLE,16.1,0.698,2.4,21.52,-0.7,410th,0.088,75th,-6.1,564th,-0.62,432nd
Zeke Nnaji,5.9,0.683,8.6,-2.3,DEN,6.6,0.629,-1.1,6.83,-0.7,411st,0.054,127th,-1.2,386th,1.77,236th
Mychal Mulder,3.4,0.458,2.9,-4.5,MIA,4.1,0.438,-3.2,2.7,-0.7,412nd,0.02,218th,-1.3,395th,0.2,371st
