player,team,location,opponent,outcome,mp,fgm,fga,fgpercent,threepfgmade,threepattempted,threepointpercent,ft,fta,ftpercent,oreb,dreb,trb,ast,stl,blk,tov,pf,pts,plusminus,gmsc,date,type,season,game_ts_percent,season_ts_percent,season_avg_ppg,games_played,salary
Robert Covington,POR,A,LAC,L,23:40,0,3,0,0,2,0,0,0,,0,6,6,1,3,0,4,0,0,-15,-0.6,2021-10-25T00:00:00Z,Regular Season,2022,0,0.438,4.7,3,12975471
Robert Covington,POR,H,PHX,W,25:50,2,4,0.5,2,4,0.5,0,0,,1,5,6,0,1,1,0,2,6,25,7.1,2021-10-23T00:00:00Z,Regular Season,2022,0.75,0.438,4.7,3,12975471
Robert Covington,POR,H,SAC,L,30:55,3,9,0.333,2,7,0.286,0,0,,0,4,4,0,0,2,1,2,8,-9,3.7,2021-10-20T00:00:00Z,Regular Season,2022,0.444,0.438,4.7,3,12975471
D'Angelo Russell,MIN,H,NOP,L,29:33,3,14,0.214,1,8,0.125,2,2,1.000,0,6,6,4,2,1,2,0,9,-12,5.7,2021-10-25T00:00:00Z,Regular Season,2022,0.302,0.444,14.3,3,30013500
D'Angelo Russell,MIN,H,NOP,W,29:11,5,14,0.357,2,7,0.286,0,0,,1,2,3,1,0,0,7,1,12,9,-1.2,2021-10-23T00:00:00Z,Regular Season,2022,0.429,0.444,14.3,3,30013500
D'Angelo Russell,MIN,H,HOU,W,24:41,6,16,0.375,4,8,0.5,6,8,.750,0,3,3,7,1,1,3,3,22,9,15.7,2021-10-20T00:00:00Z,Regular Season,2022,0.564,0.444,14.3,3,30013500
Juan Toscano-Anderson,GSW,A,SAC,W,14:39,1,3,0.333,1,2,0.5,0,0,,1,1,2,2,1,0,0,0,3,1,4.7,2021-10-24T00:00:00Z,Regular Season,2022,0.5,0.607,4,3,1701593
Juan Toscano-Anderson,GSW,H,LAC,W,7:15,1,3,0.333,1,2,0.5,0,0,,0,0,0,2,0,0,1,3,3,-6,0.5,2021-10-21T00:00:00Z,Regular Season,2022,0.5,0.607,4,3,1701593
Juan Toscano-Anderson,GSW,A,LAL,W,12:23,2,3,0.667,1,2,0.5,1,2,.500,0,3,3,1,0,0,1,1,6,7,4.5,2021-10-19T00:00:00Z,Regular Season,2022,0.773,0.607,4,3,1701593
Donovan Mitchell,UTA,A,SAC,W,37:16,9,25,0.36,6,14,0.429,3,4,.750,1,4,5,4,2,0,5,2,27,18,13.6,2021-10-22T00:00:00Z,Regular Season,2022,0.504,0.486,21.5,2,28103550
Donovan Mitchell,UTA,H,OKC,W,28:28,6,17,0.353,3,10,0.3,1,1,1.000,2,1,3,4,2,1,1,2,16,20,11.9,2021-10-20T00:00:00Z,Regular Season,2022,0.459,0.486,21.5,2,28103550
Evan Mobley,CLE,A,DEN,W,26:13,4,8,0.5,0,0,NA,2,2,1.000,3,5,8,2,0,1,3,3,10,16,7.5,2021-10-25T00:00:00Z,Regular Season,2022,0.563,0.617,14.3,4,8075160
Evan Mobley,CLE,H,ATL,W,35:09,7,12,0.583,0,2,0,3,3,1.000,2,9,11,1,1,4,1,3,17,6,17.8,2021-10-23T00:00:00Z,Regular Season,2022,0.638,0.617,14.3,4,8075160
Evan Mobley,CLE,H,CHA,L,32:27,4,7,0.571,0,0,NA,5,6,.833,1,4,5,2,2,2,4,2,13,-7,11.2,2021-10-22T00:00:00Z,Regular Season,2022,0.674,0.617,14.3,4,8075160
Evan Mobley,CLE,A,MEM,L,38:18,7,13,0.538,1,2,0.5,2,3,.667,0,9,9,6,1,1,0,2,17,-18,18.1,2021-10-20T00:00:00Z,Regular Season,2022,0.594,0.617,14.3,4,8075160
Terrence Ross,ORL,A,MIA,L,21:31,0,7,0,0,6,0,0,0,,0,0,0,2,0,0,3,2,0,-21,-7.3,2021-10-25T00:00:00Z,Regular Season,2022,0,0.581,12.3,4,12500000
