player,team,location,opponent,outcome,mp,fgm,fga,fgpercent,threepfgmade,threepattempted,threepointpercent,ft,fta,ftpercent,oreb,dreb,trb,ast,stl,blk,tov,pf,pts,plusminus,gmsc,date,type,season,game_ts_percent,season_ts_percent,season_avg_ppg,games_played,salary
Jalen Green,HOU,H,BOS,L,35:50,11,18,0.611,8,10,0.8,0,0,,1,3,4,3,1,2,3,1,30,-12,24.5,2021-10-24T00:00:00Z,Regular Season,2022,0.833,0.558,16,3,8992200
Jalen Green,HOU,H,OKC,W,26:01,4,11,0.364,1,5,0.2,0,0,,0,3,3,2,2,1,2,2,9,11,5.1,2021-10-22T00:00:00Z,Regular Season,2022,0.409,0.558,16,3,8992200
Jalen Green,HOU,A,MIN,L,32:11,4,14,0.286,1,6,0.167,0,0,,0,4,4,4,1,0,0,0,9,-37,5.8,2021-10-20T00:00:00Z,Regular Season,2022,0.321,0.558,16,3,8992200
Chris Paul,PHX,A,POR,L,25:30,2,5,0.4,0,2,0,0,0,,0,2,2,11,1,0,1,0,4,-29,9.6,2021-10-23T00:00:00Z,Regular Season,2022,0.4,0.631,14,3,30800000
Chris Paul,PHX,A,LAL,W,29:14,6,12,0.5,1,4,0.25,10,10,1.000,0,5,5,14,2,0,5,3,23,6,24.1,2021-10-22T00:00:00Z,Regular Season,2022,0.701,0.631,14,3,30800000
Chris Paul,PHX,H,DEN,L,33:37,6,11,0.545,2,4,0.5,1,2,.500,2,2,4,10,2,1,3,3,15,-23,16.8,2021-10-20T00:00:00Z,Regular Season,2022,0.631,0.631,14,3,30800000
Patrick Beverley,MIN,H,NOP,L,20:27,4,6,0.667,4,5,0.8,1,2,.500,0,2,2,2,1,1,0,3,13,-3,12.5,2021-10-25T00:00:00Z,Regular Season,2022,0.945,0.699,9,2,14320988
Patrick Beverley,MIN,H,NOP,W,21:37,2,6,0.333,1,5,0.2,0,0,,1,2,3,6,1,1,1,2,5,-6,7,2021-10-23T00:00:00Z,Regular Season,2022,0.417,0.699,9,2,14320988
Deni Avdija,WAS,A,BKN,L,19:10,0,6,0,0,4,0,2,2,1.000,1,6,7,2,0,1,0,2,2,-6,1.6,2021-10-25T00:00:00Z,Regular Season,2022,0.145,0.436,4,3,4692840
Deni Avdija,WAS,H,IND,W,16:43,1,3,0.333,0,1,0,0,0,,0,2,2,1,0,0,1,2,2,1,-0.2,2021-10-22T00:00:00Z,Regular Season,2022,0.333,0.436,4,3,4692840
Deni Avdija,WAS,A,TOR,W,20:52,3,3,1,1,1,1,1,2,.500,2,5,7,1,2,2,1,1,8,13,12.3,2021-10-20T00:00:00Z,Regular Season,2022,1.031,0.436,4,3,4692840
Mike Muscala,OKC,H,PHI,L,15:40,3,4,0.75,3,4,0.75,0,0,,0,2,2,1,2,0,0,4,9,5,9.1,2021-10-24T00:00:00Z,Regular Season,2022,1.125,0.962,11,2,3500000
Mike Muscala,OKC,A,HOU,L,11:54,5,7,0.714,2,3,0.667,1,1,1.000,0,2,2,0,1,0,0,0,13,-6,11.7,2021-10-22T00:00:00Z,Regular Season,2022,0.874,0.962,11,2,3500000
Miles McBride,NYK,H,ORL,L,0:04,0,0,NA,0,0,NA,0,0,,0,0,0,0,0,0,0,0,0,0,0,2021-10-24T00:00:00Z,Regular Season,2022,NA,0,0,2,925258
Miles McBride,NYK,A,ORL,W,2:40,0,3,0,0,2,0,0,0,,0,0,0,0,0,1,0,0,0,-7,-1.4,2021-10-22T00:00:00Z,Regular Season,2022,0,0,0,2,925258
Isaiah Jackson,IND,H,MIA,W,1:30,0,0,NA,0,0,NA,1,2,.500,0,0,0,0,0,0,0,0,1,1,0.6,2021-10-23T00:00:00Z,Regular Season,2022,0.568,0.568,1,1,2451120
Dewayne Dedmon,MIA,H,ORL,W,17:20,1,3,0.333,0,0,NA,0,0,,4,4,8,1,2,1,1,3,2,10,5.5,2021-10-25T00:00:00Z,Regular Season,2022,0.333,0.759,5,3,5256308
Dewayne Dedmon,MIA,A,IND,L,13:39,0,0,NA,0,0,NA,0,0,,0,3,3,1,0,0,2,3,0,-4,-1.6,2021-10-23T00:00:00Z,Regular Season,2022,NA,0.759,5,3,5256308
Dewayne Dedmon,MIA,H,MIL,W,15:01,5,6,0.833,1,1,1,2,2,1.000,2,7,9,0,0,0,1,2,13,13,12.5,2021-10-21T00:00:00Z,Regular Season,2022,0.945,0.759,5,3,5256308
Steven Adams,MEM,A,LAL,L,33:40,7,11,0.636,0,0,NA,0,0,,8,8,16,6,0,0,4,5,14,15,15.3,2021-10-24T00:00:00Z,Regular Season,2022,0.636,0.668,13,3,17073171
Steven Adams,MEM,A,LAC,W,26:48,6,9,0.667,0,0,NA,5,5,1.000,5,4,9,5,2,0,1,0,17,17,22.3,2021-10-23T00:00:00Z,Regular Season,2022,0.759,0.668,13,3,17073171
Steven Adams,MEM,H,CLE,W,31:45,4,7,0.571,0,0,NA,0,0,,6,8,14,3,1,1,2,0,8,1,13.1,2021-10-20T00:00:00Z,Regular Season,2022,0.571,0.668,13,3,17073171
Bruce Brown,BKN,H,WAS,W,30:18,6,10,0.6,0,2,0,2,2,1.000,1,2,3,0,0,0,1,2,14,0,8.9,2021-10-25T00:00:00Z,Regular Season,2022,0.643,0.53,7.3,3,4736102
Bruce Brown,BKN,H,CHA,L,27:11,3,9,0.333,1,3,0.333,1,2,.500,1,6,7,0,1,2,1,1,8,-7,6,2021-10-24T00:00:00Z,Regular Season,2022,0.405,0.53,7.3,3,4736102
Bruce Brown,BKN,A,MIL,L,3:45,0,0,NA,0,0,NA,0,0,,0,1,1,0,0,1,0,0,0,-9,1,2021-10-19T00:00:00Z,Regular Season,2022,NA,0.53,7.3,3,4736102
LaMelo Ball,CHA,H,BOS,L,32:58,7,19,0.368,7,14,0.5,4,4,1.000,0,5,5,9,0,0,6,6,25,1,13.9,2021-10-25T00:00:00Z,Regular Season,2022,0.602,0.606,22.8,4,8231760
LaMelo Ball,CHA,A,BKN,W,26:03,8,18,0.444,1,6,0.167,1,1,1.000,0,5,5,5,0,1,0,3,18,13,13.1,2021-10-24T00:00:00Z,Regular Season,2022,0.488,0.606,22.8,4,8231760
LaMelo Ball,CHA,A,CLE,W,28:53,8,12,0.667,1,3,0.333,0,0,,0,3,3,6,5,0,3,3,17,3,17.7,2021-10-22T00:00:00Z,Regular Season,2022,0.708,0.606,22.8,4,8231760
LaMelo Ball,CHA,H,IND,W,28:57,11,23,0.478,7,9,0.778,2,2,1.000,2,7,9,7,2,0,2,3,31,0,26.5,2021-10-20T00:00:00Z,Regular Season,2022,0.649,0.606,22.8,4,8231760
Trae Young,ATL,H,DET,W,32:04,13,21,0.619,2,5,0.4,4,4,1.000,0,4,4,9,1,0,2,2,32,17,28.2,2021-10-25T00:00:00Z,Regular Season,2022,0.703,0.568,25,3,8326471
Trae Young,ATL,A,CLE,L,35:27,8,22,0.364,1,6,0.167,7,7,1.000,0,1,1,7,3,0,2,1,24,-14,17.6,2021-10-23T00:00:00Z,Regular Season,2022,0.478,0.568,25,3,8326471
Trae Young,ATL,H,DAL,W,32:41,6,16,0.375,2,5,0.4,5,5,1.000,0,2,2,14,1,0,5,0,19,21,16.6,2021-10-21T00:00:00Z,Regular Season,2022,0.522,0.568,25,3,8326471
Nicolas Batum,LAC,H,POR,W,22:11,1,2,0.5,0,1,0,0,0,,0,6,6,1,2,0,2,2,2,12,2.7,2021-10-25T00:00:00Z,Regular Season,2022,0.5,0.438,3.5,2,12213507
Nicolas Batum,LAC,H,MEM,L,22:47,2,6,0.333,1,5,0.2,0,0,,0,5,5,2,0,2,0,0,5,5,5.9,2021-10-23T00:00:00Z,Regular Season,2022,0.417,0.438,3.5,2,12213507
JT Thor,CHA,A,BKN,W,0:47,0,0,NA,0,0,NA,0,0,,0,0,0,0,0,0,0,0,0,0,0,2021-10-24T00:00:00Z,Regular Season,2022,NA,NA,0,2,1250000
JT Thor,CHA,A,CLE,W,1:10,0,0,NA,0,0,NA,0,0,,0,0,0,0,0,0,0,0,0,-5,0,2021-10-22T00:00:00Z,Regular Season,2022,NA,NA,0,2,1250000
Kelly Oubre,CHA,H,BOS,L,42:50,6,16,0.375,5,10,0.5,2,4,.500,2,7,9,2,0,0,0,3,19,5,13.1,2021-10-25T00:00:00Z,Regular Season,2022,0.535,0.532,16.8,4,12000000
Kelly Oubre,CHA,A,BKN,W,22:53,4,13,0.308,1,5,0.2,0,0,,4,5,9,1,1,0,1,4,9,13,4.9,2021-10-24T00:00:00Z,Regular Season,2022,0.346,0.532,16.8,4,12000000
Kelly Oubre,CHA,A,CLE,W,27:05,9,13,0.692,4,7,0.571,3,3,1.000,0,3,3,1,1,0,0,2,25,6,21.3,2021-10-22T00:00:00Z,Regular Season,2022,0.873,0.532,16.8,4,12000000
Kelly Oubre,CHA,H,IND,W,34:58,5,17,0.294,2,9,0.222,2,2,1.000,0,3,3,1,0,0,0,4,14,1,4.1,2021-10-20T00:00:00Z,Regular Season,2022,0.391,0.532,16.8,4,12000000
Jordan Clarkson,UTA,A,SAC,W,23:31,6,19,0.316,2,11,0.182,1,1,1.000,1,4,5,2,2,0,1,2,15,-2,7.6,2021-10-22T00:00:00Z,Regular Season,2022,0.386,0.512,16.5,2,12420000
Jordan Clarkson,UTA,H,OKC,W,26:40,6,11,0.545,2,6,0.333,4,4,1.000,1,0,1,1,0,0,3,2,18,4,10.3,2021-10-20T00:00:00Z,Regular Season,2022,0.705,0.512,16.5,2,12420000
Desmond Bane,MEM,A,LAL,L,30:48,7,15,0.467,2,7,0.286,1,1,1.000,0,5,5,4,2,0,1,2,17,21,13.8,2021-10-24T00:00:00Z,Regular Season,2022,0.551,0.591,19.3,3,2033160
Desmond Bane,MEM,A,LAC,W,30:48,7,15,0.467,4,10,0.4,1,2,.500,0,6,6,2,0,1,1,4,19,12,12.2,2021-10-23T00:00:00Z,Regular Season,2022,0.598,0.591,19.3,3,2033160
Desmond Bane,MEM,H,CLE,W,29:39,8,16,0.5,2,6,0.333,4,4,1.000,1,2,3,3,2,0,3,2,22,-7,15.6,2021-10-20T00:00:00Z,Regular Season,2022,0.619,0.591,19.3,3,2033160
Malachi Flynn,TOR,A,BOS,W,2:54,0,1,0,0,0,NA,0,0,,0,1,1,1,1,0,0,0,0,7,1.3,2021-10-22T00:00:00Z,Regular Season,2022,0,0,0,1,2048040
Seth Curry,PHI,A,OKC,W,34:24,9,15,0.6,7,10,0.7,3,4,.750,2,1,3,3,1,0,0,2,28,10,24.7,2021-10-24T00:00:00Z,Regular Season,2022,0.835,0.88,20.3,3,8186047
Seth Curry,PHI,H,BKN,L,35:36,9,12,0.75,4,4,1,1,2,.500,0,4,4,0,1,2,0,1,23,-5,21,2021-10-22T00:00:00Z,Regular Season,2022,0.893,0.88,20.3,3,8186047
Seth Curry,PHI,A,NOP,W,27:31,4,5,0.8,2,3,0.667,0,0,,0,2,2,2,0,0,2,0,10,8,8.1,2021-10-20T00:00:00Z,Regular Season,2022,1,0.88,20.3,3,8186047
Saben Lee,DET,A,ATL,L,7:23,0,2,0,0,1,0,0,0,,0,1,1,0,0,0,0,1,0,5,-1.5,2021-10-25T00:00:00Z,Regular Season,2022,0,0.2,1,2,1489065
Saben Lee,DET,A,CHI,L,9:46,1,3,0.333,0,0,NA,0,0,,0,1,1,0,1,0,1,0,2,-5,0.6,2021-10-23T00:00:00Z,Regular Season,2022,0.333,0.2,1,2,1489065
Jordan Poole,GSW,A,SAC,W,31:54,8,16,0.5,2,5,0.4,4,4,1.000,0,3,3,3,3,1,2,3,22,4,17.5,2021-10-24T00:00:00Z,Regular Season,2022,0.619,0.508,17,3,2161440
Jordan Poole,GSW,H,LAC,W,25:11,4,14,0.286,1,6,0.167,0,0,,1,3,4,4,1,0,7,4,9,10,-2.4,2021-10-21T00:00:00Z,Regular Season,2022,0.321,0.508,17,3,2161440
Jordan Poole,GSW,A,LAL,W,25:04,8,18,0.444,4,11,0.364,0,1,.000,0,2,2,3,1,0,2,2,20,2,11.1,2021-10-19T00:00:00Z,Regular Season,2022,0.542,0.508,17,3,2161440
Goran Dragic,TOR,H,CHI,L,13:46,1,6,0.167,0,3,0,6,6,1.000,1,3,4,0,1,0,0,1,8,5,6.4,2021-10-25T00:00:00Z,Regular Season,2022,0.463,0.47,6,4,19440000
Goran Dragic,TOR,H,DAL,L,14:28,1,3,0.333,0,0,NA,0,0,,0,2,2,1,0,1,1,2,2,-16,0.5,2021-10-23T00:00:00Z,Regular Season,2022,0.333,0.47,6,4,19440000
Goran Dragic,TOR,A,BOS,W,11:40,2,6,0.333,1,4,0.25,0,0,,0,1,1,1,1,0,0,2,5,-1,2.8,2021-10-22T00:00:00Z,Regular Season,2022,0.417,0.47,6,4,19440000
Goran Dragic,TOR,H,WAS,L,21:39,3,7,0.429,1,2,0.5,2,2,1.000,0,3,3,4,0,0,0,1,9,-16,8.6,2021-10-20T00:00:00Z,Regular Season,2022,0.571,0.47,6,4,19440000
Sterling Brown,DAL,A,TOR,W,9:07,0,3,0,0,2,0,0,0,,2,1,3,1,0,0,1,2,0,-1,-1.5,2021-10-23T00:00:00Z,Regular Season,2022,0,0.188,1.5,2,3000000
Sterling Brown,DAL,A,ATL,L,10:44,1,5,0.2,1,5,0.2,0,0,,0,5,5,0,0,0,1,2,3,-4,-0.4,2021-10-21T00:00:00Z,Regular Season,2022,0.3,0.188,1.5,2,3000000
Kira Lewis,NOP,A,MIN,W,9:29,0,3,0,0,1,0,0,0,,0,1,1,2,0,0,0,2,0,-14,-1.2,2021-10-25T00:00:00Z,Regular Season,2022,0,0.316,3,4,3822240
Kira Lewis,NOP,A,MIN,L,11:12,0,2,0,0,2,0,0,0,,0,0,0,2,0,0,4,0,0,-1,-4,2021-10-23T00:00:00Z,Regular Season,2022,0,0.316,3,4,3822240
Kira Lewis,NOP,A,CHI,L,11:11,3,8,0.375,1,3,0.333,0,0,,1,1,2,3,0,0,1,0,7,-9,4.7,2021-10-22T00:00:00Z,Regular Season,2022,0.438,0.316,3,4,3822240
Kira Lewis,NOP,H,PHI,L,16:44,2,6,0.333,1,2,0.5,0,0,,1,3,4,5,1,0,1,1,5,1,6.3,2021-10-20T00:00:00Z,Regular Season,2022,0.417,0.316,3,4,3822240
Zeke Nnaji,DEN,H,CLE,L,2:44,1,1,1,1,1,1,0,0,,0,0,0,0,0,0,0,0,3,5,2.7,2021-10-25T00:00:00Z,Regular Season,2022,1.5,1.5,3,1,2498760
Mike Conley,UTA,A,SAC,W,31:26,5,12,0.417,3,6,0.5,4,4,1.000,0,2,2,3,3,0,3,2,17,1,12.5,2021-10-22T00:00:00Z,Regular Season,2022,0.618,0.524,13.5,2,21000000
Mike Conley,UTA,H,OKC,W,25:09,4,12,0.333,2,7,0.286,0,0,,0,0,0,4,2,0,1,4,10,16,5.4,2021-10-20T00:00:00Z,Regular Season,2022,0.417,0.524,13.5,2,21000000
Robert Williams,BOS,A,CHA,W,35:59,5,7,0.714,0,0,NA,2,4,.500,6,10,16,4,0,3,2,5,12,8,16.4,2021-10-25T00:00:00Z,Regular Season,2022,0.685,0.73,9.8,4,3661976
Robert Williams,BOS,A,HOU,W,27:42,1,2,0.5,0,0,NA,0,0,,1,3,4,1,1,1,0,0,2,0,5,2021-10-24T00:00:00Z,Regular Season,2022,0.5,0.73,9.8,4,3661976
Robert Williams,BOS,H,TOR,L,28:29,4,7,0.571,0,0,NA,1,1,1.000,3,3,6,0,1,3,2,1,9,-3,9.4,2021-10-22T00:00:00Z,Regular Season,2022,0.605,0.73,9.8,4,3661976
Robert Williams,BOS,A,NYK,L,44:49,5,5,1,0,0,NA,6,8,.750,3,7,10,3,3,5,0,1,16,11,26.1,2021-10-20T00:00:00Z,Regular Season,2022,0.939,0.73,9.8,4,3661976
Markieff Morris,MIA,H,ORL,W,25:10,7,11,0.636,1,4,0.25,1,1,1.000,1,2,3,1,1,1,0,3,16,11,13.6,2021-10-25T00:00:00Z,Regular Season,2022,0.699,0.492,9,3,2641691
Markieff Morris,MIA,A,IND,L,16:45,2,6,0.333,0,1,0,0,0,,1,0,1,1,0,0,2,1,4,-3,-0.4,2021-10-23T00:00:00Z,Regular Season,2022,0.333,0.492,9,3,2641691
Markieff Morris,MIA,H,MIL,W,18:00,3,10,0.3,1,3,0.333,0,0,,2,2,4,1,1,0,2,3,7,2,1.7,2021-10-21T00:00:00Z,Regular Season,2022,0.35,0.492,9,3,2641691
Gorgui Dieng,ATL,H,DET,W,15:45,2,5,0.4,1,1,1,1,2,.500,4,8,12,2,0,0,1,4,6,16,6.9,2021-10-25T00:00:00Z,Regular Season,2022,0.51,0.72,6.7,3,4000000
Gorgui Dieng,ATL,A,CLE,L,18:46,2,3,0.667,1,1,1,0,0,,3,5,8,1,0,0,2,1,5,7,5.6,2021-10-23T00:00:00Z,Regular Season,2022,0.833,0.72,6.7,3,4000000
Gorgui Dieng,ATL,H,DAL,W,14:28,4,5,0.8,1,2,0.5,0,0,,0,6,6,2,1,2,0,2,9,13,11.9,2021-10-21T00:00:00Z,Regular Season,2022,0.9,0.72,6.7,3,4000000
Isaiah Stewart,DET,A,ATL,L,28:56,6,9,0.667,0,0,NA,1,1,1.000,3,4,7,5,1,3,2,3,13,-6,15.8,2021-10-25T00:00:00Z,Regular Season,2022,0.689,0.609,10.3,3,3277080
Isaiah Stewart,DET,A,CHI,L,24:16,3,7,0.429,0,0,NA,0,0,,3,9,12,0,0,0,1,1,6,-12,5.7,2021-10-23T00:00:00Z,Regular Season,2022,0.429,0.609,10.3,3,3277080
Isaiah Stewart,DET,H,CHI,L,25:50,6,9,0.667,0,1,0,0,0,,2,6,8,0,0,1,2,1,12,-7,9.6,2021-10-20T00:00:00Z,Regular Season,2022,0.667,0.609,10.3,3,3277080
Greg Brown,POR,A,LAC,L,8:50,2,3,0.667,0,0,NA,0,1,.000,1,4,5,1,0,0,2,2,4,5,2.1,2021-10-25T00:00:00Z,Regular Season,2022,0.581,0.388,4,2,NA
Greg Brown,POR,H,PHX,W,6:25,2,6,0.333,0,3,0,0,2,.000,2,1,3,1,0,0,0,1,4,-5,1.8,2021-10-23T00:00:00Z,Regular Season,2022,0.291,0.388,4,2,NA
Richaun Holmes,SAC,H,GSW,L,31:39,7,10,0.7,0,0,NA,2,2,1.000,2,9,11,1,0,2,1,5,16,-5,15,2021-10-24T00:00:00Z,Regular Season,2022,0.735,0.79,14.3,3,10384500
Richaun Holmes,SAC,H,UTA,L,17:50,3,5,0.6,0,0,NA,0,0,,3,7,10,2,1,3,1,6,6,7,9,2021-10-22T00:00:00Z,Regular Season,2022,0.6,0.79,14.3,3,10384500
Richaun Holmes,SAC,A,POR,W,29:08,9,10,0.9,1,1,1,2,3,.667,4,7,11,2,1,2,1,2,21,20,24.1,2021-10-20T00:00:00Z,Regular Season,2022,0.928,0.79,14.3,3,10384500
Jrue Holiday,MIL,A,SAS,W,25:25,6,9,0.667,3,4,0.75,1,2,.500,1,3,4,5,0,0,5,3,16,6,10.6,2021-10-23T00:00:00Z,Regular Season,2022,0.81,0.829,14,2,30133333
Jrue Holiday,MIL,H,BKN,W,17:43,5,7,0.714,2,4,0.5,0,0,,1,0,1,1,1,0,0,0,12,17,11.5,2021-10-19T00:00:00Z,Regular Season,2022,0.857,0.829,14,2,30133333
Josh Hart,NOP,H,PHI,L,10:10,2,2,1,0,0,NA,1,2,.500,0,2,2,1,0,0,0,1,5,-2,4.9,2021-10-20T00:00:00Z,Regular Season,2022,0.868,0.868,5,1,12000000
Jerami Grant,DET,A,CHI,L,31:27,4,13,0.308,0,3,0,1,2,.500,2,3,5,1,2,4,4,2,9,-10,4.1,2021-10-23T00:00:00Z,Regular Season,2022,0.324,0.457,16.5,2,20000000
Jerami Grant,DET,H,CHI,L,32:21,8,20,0.4,3,5,0.6,5,5,1.000,3,3,6,2,1,1,1,3,24,-10,17.1,2021-10-20T00:00:00Z,Regular Season,2022,0.541,0.457,16.5,2,20000000
Kevin Knox,NYK,A,ORL,W,4:28,0,0,NA,0,0,NA,0,0,,0,0,0,1,0,0,1,1,0,-7,-0.7,2021-10-22T00:00:00Z,Regular Season,2022,NA,NA,0,1,5845978
Cole Anthony,ORL,A,MIA,L,31:58,5,13,0.385,1,5,0.2,1,2,.500,0,9,9,5,2,0,3,0,12,-5,9.7,2021-10-25T00:00:00Z,Regular Season,2022,0.432,0.495,15.3,4,3449400
Cole Anthony,ORL,A,NYK,W,34:45,9,16,0.563,5,9,0.556,6,7,.857,1,15,16,8,1,0,1,5,29,5,29.8,2021-10-24T00:00:00Z,Regular Season,2022,0.76,0.495,15.3,4,3449400
Cole Anthony,ORL,H,NYK,L,31:36,3,14,0.214,2,7,0.286,2,2,1.000,0,2,2,6,1,0,4,3,10,-20,2,2021-10-22T00:00:00Z,Regular Season,2022,0.336,0.495,15.3,4,3449400
Cole Anthony,ORL,A,SAS,L,30:02,3,12,0.25,1,7,0.143,3,4,.750,1,4,5,4,0,0,3,3,10,-3,2.9,2021-10-20T00:00:00Z,Regular Season,2022,0.363,0.495,15.3,4,3449400
RJ Barrett,NYK,H,ORL,L,33:03,5,17,0.294,1,7,0.143,1,1,1.000,1,3,4,5,1,0,2,4,12,-3,4.6,2021-10-24T00:00:00Z,Regular Season,2022,0.344,0.47,12.7,3,8623920
RJ Barrett,NYK,A,ORL,W,25:21,3,8,0.375,0,5,0,1,3,.333,1,6,7,3,1,1,2,1,7,12,5.7,2021-10-22T00:00:00Z,Regular Season,2022,0.376,0.47,12.7,3,8623920
RJ Barrett,NYK,H,BOS,W,47:03,6,11,0.545,3,7,0.429,4,6,.667,0,5,5,2,0,2,0,5,19,8,15.2,2021-10-20T00:00:00Z,Regular Season,2022,0.696,0.47,12.7,3,8623920
Elfrid Payton,PHX,A,POR,L,24:53,6,11,0.545,0,1,0,2,2,1.000,1,3,4,6,1,0,3,2,14,-10,11.7,2021-10-23T00:00:00Z,Regular Season,2022,0.589,0.589,14,1,2239544
Jericho Sims,NYK,A,ORL,W,9:45,1,1,1,0,0,NA,0,0,,0,4,4,0,1,0,0,1,2,15,3.5,2021-10-22T00:00:00Z,Regular Season,2022,1,0.798,1.5,2,NA
Jericho Sims,NYK,H,BOS,W,6:58,0,0,NA,0,0,NA,1,2,.500,0,1,1,0,0,0,0,0,1,-7,0.9,2021-10-20T00:00:00Z,Regular Season,2022,0.568,0.798,1.5,2,NA
Taurean Prince,MIN,H,NOP,L,8:50,1,4,0.25,0,3,0,3,3,1.000,1,2,3,0,0,0,0,2,5,5,3.1,2021-10-25T00:00:00Z,Regular Season,2022,0.47,0.497,4.3,3,15057692
Taurean Prince,MIN,H,NOP,W,15:30,1,3,0.333,1,2,0.5,0,2,.000,0,1,1,1,1,0,1,2,3,9,0.7,2021-10-23T00:00:00Z,Regular Season,2022,0.387,0.497,4.3,3,15057692
Taurean Prince,MIN,H,HOU,W,16:08,1,3,0.333,1,3,0.333,2,2,1.000,0,3,3,2,1,0,1,1,5,2,5.2,2021-10-20T00:00:00Z,Regular Season,2022,0.644,0.497,4.3,3,15057692
McKinley Wright,MIN,H,HOU,W,4:08,1,1,1,1,1,1,0,0,,0,0,0,0,0,0,1,0,3,-6,1.7,2021-10-20T00:00:00Z,Regular Season,2022,1.5,1.5,3,1,NA
Trey Lyles,DET,A,ATL,L,21:26,2,7,0.286,0,1,0,4,4,1.000,2,2,4,2,0,1,1,0,8,-7,7,2021-10-25T00:00:00Z,Regular Season,2022,0.457,0.581,8,3,2500000
Trey Lyles,DET,A,CHI,L,19:17,4,7,0.571,3,5,0.6,1,2,.500,1,4,5,0,0,1,2,1,12,1,8.5,2021-10-23T00:00:00Z,Regular Season,2022,0.761,0.581,8,3,2500000
Trey Lyles,DET,H,CHI,L,16:44,2,4,0.5,0,1,0,0,0,,0,6,6,1,2,0,2,0,4,0,4.5,2021-10-20T00:00:00Z,Regular Season,2022,0.5,0.581,8,3,2500000
Nikola Vucevic,CHI,A,TOR,W,33:59,8,15,0.533,0,2,0,1,2,.500,1,7,8,2,3,0,1,2,17,14,14.7,2021-10-25T00:00:00Z,Regular Season,2022,0.535,0.434,14.3,4,24000000
Nikola Vucevic,CHI,H,DET,W,33:06,6,16,0.375,1,4,0.25,2,2,1.000,2,17,19,3,2,3,2,3,15,11,15.7,2021-10-23T00:00:00Z,Regular Season,2022,0.444,0.434,14.3,4,24000000
Nikola Vucevic,CHI,H,NOP,W,31:20,4,11,0.364,1,4,0.25,1,2,.500,1,3,4,5,4,2,4,2,10,10,9.2,2021-10-22T00:00:00Z,Regular Season,2022,0.421,0.434,14.3,4,24000000
Nikola Vucevic,CHI,A,DET,W,35:53,7,21,0.333,1,4,0.25,0,0,,5,10,15,4,0,0,3,1,15,13,9,2021-10-20T00:00:00Z,Regular Season,2022,0.357,0.434,14.3,4,24000000
Ricky Rubio,CLE,A,DEN,W,24:52,2,10,0.2,0,3,0,3,4,.750,0,4,4,8,1,1,2,5,7,8,4.9,2021-10-25T00:00:00Z,Regular Season,2022,0.298,0.559,14.3,4,17809524
Ricky Rubio,CLE,H,ATL,W,35:05,9,15,0.6,3,7,0.429,2,2,1.000,0,6,6,8,1,0,3,3,23,16,20.3,2021-10-23T00:00:00Z,Regular Season,2022,0.724,0.559,14.3,4,17809524
Ricky Rubio,CLE,H,CHA,L,28:04,5,12,0.417,3,6,0.5,2,2,1.000,1,1,2,10,2,0,6,1,15,-9,12.2,2021-10-22T00:00:00Z,Regular Season,2022,0.582,0.559,14.3,4,17809524
Ricky Rubio,CLE,A,MEM,L,24:57,4,10,0.4,3,7,0.429,1,1,1.000,0,4,4,10,1,0,2,3,12,-12,12.6,2021-10-20T00:00:00Z,Regular Season,2022,0.575,0.559,14.3,4,17809524
Tristan Thompson,SAC,H,GSW,L,16:21,3,4,0.75,0,0,NA,0,0,,1,6,7,0,0,0,1,1,6,-7,5.5,2021-10-24T00:00:00Z,Regular Season,2022,0.75,0.545,4,3,9720900
Tristan Thompson,SAC,H,UTA,L,4:16,0,2,0,0,0,NA,0,0,,2,0,2,0,0,0,0,0,0,-1,0,2021-10-22T00:00:00Z,Regular Season,2022,0,0.545,4,3,9720900
Tristan Thompson,SAC,A,POR,W,18:49,3,5,0.6,0,0,NA,0,0,,1,4,5,0,0,0,1,3,6,-17,3.4,2021-10-20T00:00:00Z,Regular Season,2022,0.6,0.545,4,3,9720900
Delon Wright,ATL,H,DET,W,18:28,1,3,0.333,0,1,0,0,0,,1,3,4,0,1,0,0,0,2,6,2.9,2021-10-25T00:00:00Z,Regular Season,2022,0.333,0.273,2,3,8526316
Delon Wright,ATL,A,CLE,L,12:33,2,4,0.5,0,0,NA,0,0,,1,3,4,4,0,0,1,0,4,8,5.4,2021-10-23T00:00:00Z,Regular Season,2022,0.5,0.273,2,3,8526316
Delon Wright,ATL,H,DAL,W,15:19,0,4,0,0,3,0,0,0,,1,3,4,3,0,0,0,1,0,5,0.5,2021-10-21T00:00:00Z,Regular Season,2022,0,0.273,2,3,8526316
Danny Green,PHI,A,OKC,W,27:59,4,6,0.667,3,5,0.6,0,0,,1,7,8,0,0,1,2,1,11,1,9.5,2021-10-24T00:00:00Z,Regular Season,2022,0.917,0.654,5.7,3,10000000
Danny Green,PHI,H,BKN,L,22:12,2,6,0.333,2,6,0.333,0,0,,0,1,1,0,1,0,0,5,6,-8,1.9,2021-10-22T00:00:00Z,Regular Season,2022,0.5,0.654,5.7,3,10000000
Danny Green,PHI,A,NOP,W,18:35,0,1,0,0,1,0,0,0,,0,0,0,0,0,0,0,3,0,11,-1.9,2021-10-20T00:00:00Z,Regular Season,2022,0,0.654,5.7,3,10000000
