team,full_team,game_id,date,outcome,opponent,pts_scored,pts_scored_opp,mov,record
DAL,Dallas Mavericks,14,2021-10-21T00:00:00Z,L,ATL,87,113,-26,1 - 1
DAL,Dallas Mavericks,29,2021-10-23T00:00:00Z,W,TOR,103,95,8,1 - 1
POR,Portland Trail Blazers,34,2021-10-23T00:00:00Z,W,PHX,134,105,29,1 - 1
POR,Portland Trail Blazers,12,2021-10-20T00:00:00Z,L,SAC,121,124,-3,1 - 1
IND,Indiana Pacers,30,2021-10-23T00:00:00Z,W,MIA,102,91,11,1 - 2
IND,Indiana Pacers,4,2021-10-20T00:00:00Z,L,CHA,122,123,-1,1 - 2
IND,Indiana Pacers,23,2021-10-22T00:00:00Z,L,WAS,134,135,-1,1 - 2
GSW,Golden State Warriors,37,2021-10-24T00:00:00Z,W,SAC,119,107,12,3 - 0
GSW,Golden State Warriors,2,2021-10-19T00:00:00Z,W,LAL,121,114,7,3 - 0
GSW,Golden State Warriors,15,2021-10-21T00:00:00Z,W,LAC,115,113,2,3 - 0
LAL,Los Angeles Lakers,2,2021-10-19T00:00:00Z,L,GSW,114,121,-7,1 - 2
LAL,Los Angeles Lakers,38,2021-10-24T00:00:00Z,W,MEM,121,118,3,1 - 2
LAL,Los Angeles Lakers,24,2021-10-22T00:00:00Z,L,PHX,105,115,-10,1 - 2
ORL,Orlando Magic,39,2021-10-24T00:00:00Z,W,NYK,110,104,6,1 - 2
ORL,Orlando Magic,11,2021-10-20T00:00:00Z,L,SAS,97,123,-26,1 - 2
ORL,Orlando Magic,25,2021-10-22T00:00:00Z,L,NYK,96,121,-25,1 - 2
