upcoming_games,upcoming_game_date,location,tot_wins,games_played,avg_pts,last_yr_ppg,scrape_time,win_pct,league_ts_percent,last_updated_at,run_type,most_recent_game,sum_active_protocols,sum_active_protocols_lastwk,protocols_differential,protocols_pct_diff,protocols_text
1,2022-06-05,H,669,1230,110.62,112.1,2022-06-03T11:00:45Z,0.544,0.566,2022-06-03T18:03:37Z,PROD,2022-06-02,0,0,0,0,No difference from 7 days ago
1,2022-06-05,A,561,1230,110.62,112.1,2022-06-03T11:00:45Z,0.456,0.566,2022-06-03T18:03:37Z,PROD,2022-06-02,0,0,0,0,No difference from 7 days ago
