Player,Team,Salary,Total Salary Owed
Derrick Rose,NYK,7682927,7682927
Cristiano Felicio,CHI,7529020,7529020
Rajon Rondo,ATL,7500000,15000000
De'Andre Hunter,ATL,7422000,15197400
Jonathan Isaac,ORL,7362566,87362566
Doug McDermott,IND,7333333,7333333
Robin Lopez,WAS,7300000,7300000
Jaren Jackson Jr.,MEM,7257360,16437920
JaMychal Green,DEN,7199760,14759508
Nemanja Bjelica,SAC,7150000,0
Patrick Williams,CHI,7068360,14490360
Ivica Zubac,LAC,7000000,14518518
Darius Miller,OKC,7000000,7000000
Aron Baynes,TOR,6975610,6975610
Lauri Markkanen,CHI,6731508,6731508
Darius Garland,CLE,6720720,13761600
D.J. Augustin,MIL,6666667,14000000
Trae Young,ATL,6571800,14898271
Jabari Parker,SAC,6500000,6500000
Juan Hernangomez,MIN,6493000,13505440
Chris Boucher,TOR,6490385,13500000
Joakim Noah,NYK,6431666,12863332
Isaac Okoro,CLE,6400920,13121640
Frank Ntilikina,NYK,6176578,6176578
DeMarre Carroll,SAS,6167887,7420014
Ish Smith,WAS,6146341,6146341
Jarrett Culver,MIN,6104280,6104280
Alec Burks,NYK,6000000,6000000
Mo Bamba,ORL,5969040,13537782
Onyeka Okongwu,ATL,5813640,11917920
Justin Holiday,IND,5720400,18019260
Dennis Smith Jr.,DET,5686677,5686677
Avery Bradley,MIA,5635000,5635000
Timofey Mozgov,ORL,5573333,11146667
Coby White,CHI,5572680,11410440
Trey Lyles,SAS,5500000,0
Wendell Carter Jr.,CHI,5448840,12368867
Zach Collins,POR,5406255,5406255
Malik Monk,CHA,5345687,5345687
Killian Hayes,DET,5307120,10879800
Luke Kennard,LAC,5273826,61273826
Ryan Anderson,MIA,5214583,10429167
Donovan Mitchell,UTA,5195501,131099405
Bam Adebayo,MIA,5115492,168116082
Jaxson Hayes,NOP,5105160,10453440
Justin Jackson,OKC,5029650,5029650
Richaun Holmes,SAC,5005350,5005350
Enes Kanter,POR,5005350,5005350
Mike Scott,PHI,5005350,5005350
Ed Davis,MIN,5005350,5005350
Rodney McGruder,DET,5000000,10370370
Nerlens Noel,NYK,5000000,5000000
Daniel Theis,BOS,5000000,0
Collin Sexton,CLE,4991880,11341551
Luol Deng,LAL,4990000,9980000
Pat Connaughton,MIL,4938272,10271605
Obi Toppin,NYK,4862040,9967200
Kevon Looney,GSW,4821429,4821429
Josh Jackson,DET,4767000,9772350
