player,team,full_team,season_avg_ppg,playoffs_avg_ppg,season_ts_percent,playoffs_ts_percent,games_played,playoffs_games_played,ppg_rank,top20_scorers,player_mvp_calc_adj,games_missed,penalized_games_missed,top5_candidates,mvp_rank
Hamidou Diallo,DET,Detroit Pistons,11,NA,0.541,NA,58,NA,155,Other,12.6,24,8,Other,223
Nemanja Bjelica,GSW,Golden State Warriors,6.1,2.9,0.573,0.58,71,15,337,Other,12.6,11,0,Other,224
Tre Jones,SAS,San Antonio Spurs,6,NA,0.545,NA,69,NA,340,Other,12.6,13,0,Other,222
Garrison Mathews,HOU,Houston Rockets,10,NA,0.602,NA,65,NA,185,Other,12.54,17,1,Other,225
Jalen Suggs,ORL,Orlando Magic,11.8,NA,0.455,NA,48,NA,138,Other,12.53,34,18,Other,226
Jonathan Kuminga,GSW,Golden State Warriors,9.3,5.2,0.6,0.581,70,16,200,Other,12.5,12,0,Other,227
Maxi Kleber,DAL,Dallas Mavericks,7,8.7,0.537,0.681,59,18,298,Other,12.47,23,7,Other,228
Gary Harris,ORL,Orlando Magic,11.1,NA,0.571,NA,61,NA,151,Other,12.42,21,5,Other,230
Jaylen Nowell,MIN,Minnesota Timberwolves,8.5,6,0.581,0.3,62,1,232,Other,12.42,20,4,Other,229
Raul Neto,WAS,Washington Wizards,7.5,NA,0.538,NA,70,NA,273,Other,12.4,12,0,Other,231
Nicolas Batum,LAC,Los Angeles Clippers,8.3,NA,0.608,NA,59,NA,240,Other,12.38,23,7,Other,232
Naz Reid,MIN,Minnesota Timberwolves,8.3,4.8,0.587,0.598,77,5,242,Other,12.3,5,0,Other,233
Onyeka Okongwu,ATL,Atlanta Hawks,8.2,5.2,0.714,0.637,48,5,247,Other,12.23,34,18,Other,234
Furkan Korkmaz,PHI,Philadelphia 76ers,7.6,3.1,0.502,0.586,67,9,271,Other,12.2,15,0,Other,235
Corey Kispert,WAS,Washington Wizards,8.2,NA,0.586,NA,77,NA,250,Other,12,5,0,Other,237
Delon Wright,ATL,Atlanta Hawks,4.4,8.2,0.576,0.622,77,5,409,Other,12,5,0,Other,236
Aleksej Pokusevski,OKC,Oklahoma City Thunder,7.6,NA,0.485,NA,61,NA,267,Other,11.97,21,5,Other,238
Ish Smith,WAS,Washington Wizards,6.3,NA,0.466,NA,65,NA,324,Other,11.96,17,1,Other,239
Kemba Walker,NYK,New York Knicks,11.6,NA,0.537,NA,37,NA,141,Other,11.93,45,29,Other,240
Kenyon Martin,HOU,Houston Rockets,8.8,NA,0.604,NA,79,NA,224,Other,11.8,3,0,Other,241
Nassir Little,POR,Portland Trail Blazers,9.8,NA,0.575,NA,42,NA,193,Other,11.78,40,24,Other,243
Terence Davis,SAC,Sacramento Kings,10.4,NA,0.543,NA,30,NA,170,Other,11.78,52,36,Other,242
Joe Ingles,UTA,Utah Jazz,7.2,NA,0.551,NA,45,NA,290,Other,11.7,37,21,Other,244
Chimezie Metu,SAC,Sacramento Kings,8.9,NA,0.546,NA,60,NA,220,Other,11.53,22,6,Other,245
John Konchar,MEM,Memphis Grizzlies,4.8,1.1,0.615,0.379,72,8,388,Other,11.4,10,0,Other,246
Austin Reaves,LAL,Los Angeles Lakers,7.3,NA,0.6,NA,61,NA,285,Other,11.34,21,5,Other,247
Joe Harris,BKN,Brooklyn Nets,11.3,NA,0.624,NA,14,NA,146,Other,11.33,68,52,Other,248
Goran Dragic,BKN,Brooklyn Nets,7.5,10.5,0.474,0.639,21,4,274,Other,11.25,61,45,Other,249
Marvin Bagley,DET,Detroit Pistons,11.3,NA,0.551,NA,48,NA,149,Other,11.25,34,18,Other,250
Ziaire Williams,MEM,Memphis Grizzlies,8.1,6.9,0.559,0.598,62,10,253,Other,11.22,20,4,Other,251
Braxton Key,DET,Detroit Pistons,7.2,NA,0.508,NA,11,NA,289,Other,11.18,71,55,Other,252
Kelly Olynyk,DET,Detroit Pistons,9.1,NA,0.561,NA,40,NA,211,Other,11.18,42,26,Other,253
Gabriel Lundberg,PHX,Phoenix Suns,4.3,NA,0.382,NA,3,NA,414,Other,11.1,79,63,Other,255
Richaun Holmes,SAC,Sacramento Kings,10.4,NA,0.687,NA,45,NA,171,Other,11.1,37,21,Other,254
Nic Claxton,BKN,Brooklyn Nets,8.7,10.5,0.672,0.624,47,4,228,Other,11.03,35,19,Other,256
George Hill,MIL,Milwaukee Bucks,6.2,1,0.552,0.425,54,5,333,Other,11.02,28,12,Other,257
Dewayne Dedmon,MIA,Miami Heat,6.3,3.8,0.632,0.527,67,14,325,Other,11,15,0,Other,258
Andre Iguodala,GSW,Golden State Warriors,4,1.6,0.478,0.533,31,7,431,Other,10.95,51,35,Other,259
Zach Collins,SAS,San Antonio Spurs,7.8,NA,0.594,NA,28,NA,262,Other,10.95,54,38,Other,260
Jose Alvarado,NOP,New Orleans Pelicans,6.1,8,0.52,0.62,54,6,339,Other,10.94,28,12,Other,261
Bryn Forbes,DEN,Denver Nuggets,8.8,4,0.575,0.581,75,5,222,Other,10.9,7,0,Other,263
Damion Lee,GSW,Golden State Warriors,7.4,2,0.561,0.453,63,16,282,Other,10.9,19,3,Other,262
Taurean Prince,MIN,Minnesota Timberwolves,7.3,6,0.588,0.499,69,5,284,Other,10.9,13,0,Other,264
Donte DiVincenzo,SAC,Sacramento Kings,9,NA,0.51,NA,42,NA,215,Other,10.88,40,24,Other,266
Isaiah Roby,OKC,Oklahoma City Thunder,10.1,NA,0.607,NA,45,NA,182,Other,10.88,37,21,Other,265
Rudy Gay,UTA,Utah Jazz,8.1,NA,0.539,NA,55,NA,254,Other,10.84,27,11,Other,267
Moritz Wagner,ORL,Orlando Magic,9,NA,0.623,NA,63,NA,216,Other,10.72,19,3,Other,268
Shake Milton,PHI,Philadelphia 76ers,8.2,5,0.517,0.641,55,12,249,Other,10.69,27,11,Other,269
Devin Cannady,ORL,Orlando Magic,10,NA,0.531,NA,5,NA,188,Other,10.65,77,61,Other,271
Jalen Smith,IND,Indiana Pacers,9.2,NA,0.595,NA,51,NA,202,Other,10.65,31,15,Other,272
Willy Hernangomez,NOP,New Orleans Pelicans,9.2,2,0.584,0.25,49,1,208,Other,10.65,33,17,Other,270
DeMarcus Cousins,DEN,Denver Nuggets,9,10.6,0.567,0.744,48,5,214,Other,10.58,34,18,Other,273
Tre Mann,OKC,Oklahoma City Thunder,10.4,NA,0.501,NA,60,NA,173,Other,10.56,22,6,Other,274
Kenrich Williams,OKC,Oklahoma City Thunder,7.4,NA,0.532,NA,49,NA,283,Other,10.5,33,17,Other,275
Payton Pritchard,BOS,Boston Celtics,6.2,4.8,0.578,0.545,71,24,335,Other,10.5,11,0,Other,276
Jared Harper,NOP,New Orleans Pelicans,7.4,NA,0.666,NA,5,NA,279,Other,10.43,77,61,Other,277
Cam Thomas,BKN,Brooklyn Nets,8.5,0,0.519,NA,67,1,231,Other,10.4,15,0,Other,278
Danny Green,PHI,Philadelphia 76ers,5.9,8.6,0.561,0.576,62,12,345,Other,10.4,20,4,Other,279
Facundo Campazzo,DEN,Denver Nuggets,5.1,0,0.503,0,65,4,384,Other,10.39,17,1,Other,280
Brandon Williams,POR,Portland Trail Blazers,12.9,NA,0.476,NA,24,NA,120,Other,10.35,58,42,Other,284
Kris Dunn,POR,Portland Trail Blazers,7.1,NA,0.482,NA,15,NA,295,Other,10.35,67,51,Other,283
Rui Hachimura,WAS,Washington Wizards,11.3,NA,0.579,NA,42,NA,148,Other,10.35,40,24,Other,281
Zavier Simpson,OKC,Oklahoma City Thunder,11,NA,0.406,NA,4,NA,153,Other,10.35,78,62,Other,282
Drew Eubanks,POR,Portland Trail Blazers,7.7,NA,0.638,NA,71,NA,264,Other,10.2,11,0,Other,286
Josh Christopher,HOU,Houston Rockets,7.9,NA,0.534,NA,74,NA,261,Other,10.2,8,0,Other,285
Doug McDermott,SAS,San Antonio Spurs,11.3,NA,0.592,NA,51,NA,147,Other,10.13,31,15,Other,287
Aaron Holiday,PHX,Phoenix Suns,6.3,3.5,0.544,0.727,63,6,326,Other,10.06,19,3,Other,288
Terrence Ross,ORL,Orlando Magic,10,NA,0.515,NA,63,NA,187,Other,10.06,19,3,Other,289
JaMychal Green,DEN,Denver Nuggets,6.4,4,0.585,0.524,67,5,319,Other,10,15,0,Other,291
Torrey Craig,PHX,Phoenix Suns,6.6,2.2,0.557,0.437,78,9,310,Other,10,4,0,Other,290
James Johnson,BKN,Brooklyn Nets,5.5,NA,0.515,NA,62,NA,367,Other,9.94,20,4,Other,292
Larry Nance,NOP,New Orleans Pelicans,7,9.2,0.59,0.627,46,6,296,Other,9.9,36,20,Other,293
Austin Rivers,DEN,Denver Nuggets,6,4.2,0.547,0.569,67,5,342,Other,9.8,15,0,Other,294
Mason Jones,LAL,Los Angeles Lakers,6.8,NA,0.625,NA,4,NA,305,Other,9.75,78,62,Other,295
Isaiah Jackson,IND,Indiana Pacers,8.3,NA,0.607,NA,36,NA,245,Other,9.6,46,30,Other,297
Thaddeus Young,TOR,Toronto Raptors,6.2,3.3,0.547,0.506,52,6,330,Other,9.6,30,14,Other,296
Jordan McLaughlin,MIN,Minnesota Timberwolves,3.8,6.2,0.535,0.826,62,5,439,Other,9.57,20,4,Other,299
Jordan Nwora,MIL,Milwaukee Bucks,7.9,0.5,0.506,0.202,62,8,259,Other,9.57,20,4,Other,298
Lance Stephenson,IND,Indiana Pacers,8.3,NA,0.536,NA,46,NA,243,Other,9.53,36,20,Other,300
Terry Taylor,IND,Indiana Pacers,9.6,NA,0.659,NA,33,NA,195,Other,9.53,49,33,Other,301
Jeremy Lamb,SAC,Sacramento Kings,7.3,NA,0.521,NA,56,NA,286,Other,9.52,26,10,Other,302
Ben McLemore,POR,Portland Trail Blazers,10.2,NA,0.567,NA,64,NA,179,Other,9.5,18,2,Other,303
Damian Jones,SAC,Sacramento Kings,8.1,NA,0.701,NA,56,NA,252,Other,9.28,26,10,Other,304
Mike Muscala,OKC,Oklahoma City Thunder,8,NA,0.63,NA,43,NA,258,Other,9.08,39,23,Other,305
Josh Green,DAL,Dallas Mavericks,4.8,1.4,0.578,0.365,67,16,390,Other,9,15,0,Other,306
Dwight Howard,LAL,Los Angeles Lakers,6.2,NA,0.657,NA,60,NA,328,Other,8.98,22,6,Other,307
Blake Griffin,BKN,Brooklyn Nets,6.4,4,0.52,0.508,56,2,317,Other,8.96,26,10,Other,308
R.J. Hampton,ORL,Orlando Magic,7.6,NA,0.481,NA,64,NA,270,Other,8.93,18,2,Other,309
Daniel Theis,BOS,Boston Celtics,8.2,4.3,0.595,0.633,47,16,251,Other,8.78,35,19,Other,311
Justise Winslow,POR,Portland Trail Blazers,5.7,NA,0.479,NA,48,NA,358,Other,8.78,34,18,Other,310
Juan Toscano-Anderson,GSW,Golden State Warriors,4.1,0.8,0.561,0.486,73,14,425,Other,8.7,9,0,Other,312
Lindy Waters,OKC,Oklahoma City Thunder,8,NA,0.562,NA,25,NA,256,Other,8.7,57,41,Other,313
Stanley Johnson,LAL,Los Angeles Lakers,6.7,NA,0.564,NA,48,NA,307,Other,8.7,34,18,Other,314
Duane Washington,IND,Indiana Pacers,9.9,NA,0.521,NA,48,NA,190,Other,8.63,34,18,Other,316
Greg Monroe,MIN,Minnesota Timberwolves,5.4,2,0.566,0.4,14,2,369,Other,8.63,68,52,Other,315
Ty Jerome,OKC,Oklahoma City Thunder,7,NA,0.486,NA,48,NA,299,Other,8.63,34,18,Other,317
Frank Jackson,DET,Detroit Pistons,10.6,NA,0.53,NA,53,NA,165,Other,8.55,29,13,Other,320
Justin Anderson,IND,Indiana Pacers,6.4,NA,0.493,NA,16,NA,316,Other,8.55,66,50,Other,318
Patrick Williams,CHI,Chicago Bulls,9,11.8,0.637,0.569,17,5,217,Other,8.55,65,49,Other,319
Cam Reddish,NYK,New York Knicks,10.1,NA,0.543,NA,49,NA,183,Other,8.48,33,17,Other,321
Dennis Smith,POR,Portland Trail Blazers,5.6,NA,0.474,NA,37,NA,366,Other,8.48,45,29,Other,323
Goga Bitadze,IND,Indiana Pacers,7,NA,0.595,NA,50,NA,300,Other,8.48,32,16,Other,324
Xavier Moon,LAC,Los Angeles Clippers,5.8,NA,0.545,NA,10,NA,356,Other,8.48,72,56,Other,322
D.J. Wilson,TOR,Toronto Raptors,7.5,NA,0.773,NA,4,NA,277,Other,8.33,78,62,Other,326
Isaiah Thomas,CHA,Charlotte Hornets,8.4,NA,0.516,NA,22,NA,236,Other,8.33,60,44,Other,325
Saben Lee,DET,Detroit Pistons,5.6,NA,0.499,NA,37,NA,363,Other,8.33,45,29,Other,327
Bismack Biyombo,PHX,Phoenix Suns,5.8,2.8,0.596,0.636,36,9,350,Other,8.25,46,30,Other,329
Hassani Gravett,ORL,Orlando Magic,6.3,NA,0.629,NA,8,NA,323,Other,8.25,74,58,Other,328
Jalen McDaniels,CHA,Charlotte Hornets,6.2,NA,0.595,NA,55,NA,334,Other,8.19,27,11,Other,330
Lamar Stevens,CLE,Cleveland Cavaliers,6.1,NA,0.544,NA,63,NA,338,Other,8.18,19,3,Other,331
Reggie Perry,POR,Portland Trail Blazers,9.2,NA,0.537,NA,10,NA,204,Other,8.1,72,56,Other,332
Omer Yurtseven,MIA,Miami Heat,5.3,2.8,0.546,0.647,56,9,375,Other,8.08,26,10,Other,333
Cameron McGriff,POR,Portland Trail Blazers,4.7,NA,0.47,NA,3,NA,392,Other,8.03,79,63,Other,334
DeAndre' Bembry,MIL,Milwaukee Bucks,5.1,NA,0.598,NA,56,NA,383,Other,8,26,10,Other,336
Lou Williams,ATL,Atlanta Hawks,6.3,NA,0.5,NA,56,NA,327,Other,8,26,10,Other,335
Markieff Morris,MIA,Miami Heat,7.6,0,0.547,0,17,1,269,Other,7.95,65,49,Other,338
Rajon Rondo,CLE,Cleveland Cavaliers,4.8,NA,0.494,NA,39,NA,387,Other,7.95,43,27,Other,337
Serge Ibaka,MIL,Milwaukee Bucks,6.8,1.5,0.579,0.267,54,6,306,Other,7.9,28,12,Other,339
Day'Ron Sharpe,BKN,Brooklyn Nets,6.2,0,0.593,NA,32,1,329,Other,7.8,50,34,Other,340
Isaiah Livers,DET,Detroit Pistons,6.4,NA,0.629,NA,19,NA,318,Other,7.73,63,47,Other,341
Thomas Bryant,WAS,Washington Wizards,7.4,NA,0.607,NA,27,NA,281,Other,7.73,55,39,Other,342
Danuel House,UTA,Utah Jazz,5.9,4.3,0.555,0.509,42,6,347,Other,7.65,40,24,Other,344
Keita Bates-Diop,SAS,San Antonio Spurs,5.7,NA,0.578,NA,59,NA,360,Other,7.65,23,7,Other,343
Troy Brown,CHI,Chicago Bulls,4.3,4,0.525,0.353,66,3,412,Other,7.6,16,0,Other,345
Olivier Sarr,OKC,Oklahoma City Thunder,7,NA,0.672,NA,22,NA,301,Other,7.58,60,44,Other,346
Avery Bradley,LAL,Los Angeles Lakers,6.4,NA,0.55,NA,62,NA,315,Other,7.54,20,4,Other,348
Tristan Thompson,CHI,Chicago Bulls,6,0.8,0.541,0.4,57,5,344,Other,7.54,25,9,Other,347
Derrick Jones,CHI,Chicago Bulls,5.6,3.8,0.633,0.519,51,5,364,Other,7.5,31,15,Other,349
Khem Birch,TOR,Toronto Raptors,4.5,3,0.534,0.563,55,6,400,Other,7.49,27,11,Other,350
Trey Murphy,NOP,New Orleans Pelicans,5.4,5.2,0.558,0.64,62,6,370,Other,7.45,20,4,Other,351
Jeremiah Robinson-Earl,OKC,Oklahoma City Thunder,7.5,NA,0.526,NA,49,NA,275,Other,7.43,33,17,Other,352
Nerlens Noel,NYK,New York Knicks,3.4,NA,0.581,NA,25,NA,462,Other,7.35,57,41,Other,353
Aaron Wiggins,OKC,Oklahoma City Thunder,8.3,NA,0.556,NA,50,NA,238,Other,7.28,32,16,Other,355
Wes Iwundu,ATL,Atlanta Hawks,7.3,NA,0.557,NA,3,NA,287,Other,7.28,79,63,Other,354
Dean Wade,CLE,Cleveland Cavaliers,5.3,NA,0.584,NA,51,NA,377,Other,7.2,31,15,Other,357
Jevon Carter,MIL,Milwaukee Bucks,4.2,2.1,0.531,0.578,66,11,420,Other,7.2,16,0,Other,356
Brandon Boston,LAC,Los Angeles Clippers,6.7,NA,0.481,NA,51,NA,309,Other,7.13,31,15,Other,359
Taj Gibson,NYK,New York Knicks,4.4,NA,0.606,NA,52,NA,405,Other,7.13,30,14,Other,358
Carsen Edwards,DET,Detroit Pistons,5.8,NA,0.378,NA,4,NA,353,Other,7.05,78,62,Other,361
Robin Lopez,ORL,Orlando Magic,7.1,NA,0.57,NA,36,NA,292,Other,7.05,46,30,Other,360
Theo Maledon,OKC,Oklahoma City Thunder,7.1,NA,0.5,NA,51,NA,293,Other,7.05,31,15,Other,362
Trendon Watford,POR,Portland Trail Blazers,7.6,NA,0.59,NA,48,NA,268,Other,7.05,34,18,Other,363
Wenyen Gabriel,LAL,Los Angeles Lakers,5.4,NA,0.549,NA,26,NA,371,Other,6.98,56,40,Other,365
Xavier Tillman,MEM,Memphis Grizzlies,4.8,4.4,0.51,0.724,53,9,389,Other,6.98,29,13,Other,364
Alex Len,SAC,Sacramento Kings,6,NA,0.577,NA,39,NA,343,Other,6.9,43,27,Other,366
Wesley Matthews,MIL,Milwaukee Bucks,5.1,6.2,0.536,0.544,49,12,382,Other,6.9,33,17,Other,367
Rayjon Tucker,MIL,Milwaukee Bucks,4.2,0.3,0.869,0.333,5,8,421,Other,6.83,77,61,Other,368
Zeke Nnaji,DEN,Denver Nuggets,6.6,1.5,0.629,1.5,41,2,312,Other,6.83,41,25,Other,369
Malik Newman,CLE,Cleveland Cavaliers,8,NA,0.68,NA,1,NA,255,Other,6.75,81,65,Other,371
Quentin Grimes,NYK,New York Knicks,6.1,NA,0.565,NA,45,NA,336,Other,6.75,37,21,Other,370
Kessler Edwards,BKN,Brooklyn Nets,5.9,0,0.516,NA,48,2,348,Other,6.68,34,18,Other,372
Gabe York,IND,Indiana Pacers,4,NA,0.435,NA,2,NA,432,Other,6.6,80,64,Other,373
Davis Bertans,DAL,Dallas Mavericks,5.6,4.1,0.531,0.606,56,18,362,Other,6.56,26,10,Other,374
Naji Marshall,NOP,New Orleans Pelicans,5.7,3,0.505,0.765,55,6,357,Other,6.55,27,11,Other,375
Trent Forrest,UTA,Utah Jazz,3.3,NA,0.554,NA,60,NA,467,Other,6.51,22,6,Other,376
Tomas Satoransky,WAS,Washington Wizards,3.6,NA,0.461,NA,55,NA,452,Other,6.47,27,11,Other,377
Brandon Goodwin,CLE,Cleveland Cavaliers,4.8,NA,0.501,NA,36,NA,391,Other,6.45,46,30,Other,379
Joshua Primo,SAS,San Antonio Spurs,5.8,NA,0.487,NA,50,NA,351,Other,6.45,32,16,Other,380
Wayne Ellington,LAL,Los Angeles Lakers,6.7,NA,0.593,NA,43,NA,308,Other,6.45,39,23,Other,378
Dalano Banton,TOR,Toronto Raptors,3.2,1.8,0.463,0.754,64,4,474,Other,6.43,18,2,Other,381
CJ Elleby,POR,Portland Trail Blazers,5.8,NA,0.491,NA,58,NA,355,Other,6.3,24,8,Other,383
Frank Ntilikina,DAL,Dallas Mavericks,4.1,1.9,0.513,0.471,58,12,424,Other,6.3,24,8,Other,382
Josh Jackson,SAC,Sacramento Kings,6.4,NA,0.491,NA,51,NA,320,Other,6.3,31,15,Other,384
David Duke,BKN,Brooklyn Nets,4.7,NA,0.444,NA,22,NA,395,Other,6.23,60,44,Other,385
Brandon Knight,DAL,Dallas Mavericks,6.4,NA,0.561,NA,5,NA,321,Other,6.15,77,61,Other,386
Cody Zeller,POR,Portland Trail Blazers,5.2,NA,0.627,NA,27,NA,379,Other,6.15,55,39,Other,387
Armoni Brooks,TOR,Toronto Raptors,5.3,0,0.483,0,54,4,374,Other,6.08,28,12,Other,389
Vit Krejci,OKC,Oklahoma City Thunder,6.2,NA,0.529,NA,30,NA,332,Other,6.08,52,36,Other,388
David Nwaba,HOU,Houston Rockets,5.1,NA,0.567,NA,46,NA,381,Other,6,36,20,Other,390
Derrick Favors,OKC,Oklahoma City Thunder,5.3,NA,0.534,NA,39,NA,373,Other,5.93,43,27,Other,391
Eric Paschall,UTA,Utah Jazz,5.8,2,0.612,0.621,58,4,354,Other,5.88,24,8,Other,392
Keon Johnson,POR,Portland Trail Blazers,7.2,NA,0.455,NA,37,NA,291,Other,5.85,45,29,Other,394
Mamadi Diakite,OKC,Oklahoma City Thunder,4.3,NA,0.54,NA,13,NA,417,Other,5.85,69,53,Other,395
PJ Dozier,DEN,Denver Nuggets,5.4,NA,0.463,NA,18,NA,372,Other,5.85,64,48,Other,393
Davon Reed,DEN,Denver Nuggets,4.4,NA,0.624,NA,48,NA,404,Other,5.78,34,18,Other,396
Malachi Flynn,TOR,Toronto Raptors,4.3,0,0.488,0,44,6,413,Other,5.78,38,22,Other,397
Rodney McGruder,DET,Detroit Pistons,5.4,NA,0.575,NA,51,NA,368,Other,5.78,31,15,Other,398
Garrett Temple,NOP,New Orleans Pelicans,5.2,0,0.495,NA,59,1,378,Other,5.76,23,7,Other,399
Keifer Sykes,IND,Indiana Pacers,5.6,NA,0.456,NA,32,NA,365,Other,5.7,50,34,Other,400
Chaundee Brown,ATL,Atlanta Hawks,6.2,NA,0.447,NA,5,NA,331,Other,5.63,77,61,Other,401
Enes Freedom,BOS,Boston Celtics,3.7,NA,0.585,NA,35,NA,446,Other,5.63,47,31,Other,403
Kelan Martin,BOS,Boston Celtics,5.7,NA,0.484,NA,30,NA,361,Other,5.63,52,36,Other,402
B.J. Johnson,ORL,Orlando Magic,6.5,NA,0.52,NA,4,NA,313,Other,5.55,78,62,Other,408
Jock Landale,SAS,San Antonio Spurs,4.9,NA,0.597,NA,54,NA,386,Other,5.55,28,12,Other,407
Luka Garza,DET,Detroit Pistons,5.8,NA,0.535,NA,32,NA,349,Other,5.55,50,34,Other,405
Marquese Chriss,DAL,Dallas Mavericks,4.5,1.8,0.518,0.658,34,8,399,Other,5.55,48,32,Other,406
Romeo Langford,SAS,San Antonio Spurs,4.5,NA,0.52,NA,48,NA,403,Other,5.55,34,18,Other,404
Cassius Stanley,DET,Detroit Pistons,5.8,NA,0.516,NA,9,NA,352,Other,5.48,73,57,Other,409
Udoka Azubuike,UTA,Utah Jazz,4.7,NA,0.743,NA,17,NA,394,Other,5.33,65,49,Other,410
Tony Bradley,CHI,Chicago Bulls,2.9,5,0.6,1,56,2,492,Other,5.28,26,10,Other,411
DeAndre Jordan,PHI,Philadelphia 76ers,4.3,5,0.641,1,48,2,416,Other,5.25,34,18,Other,413
Killian Tillie,MEM,Memphis Grizzlies,3.3,NA,0.452,NA,36,NA,465,Other,5.25,46,30,Other,414
Mac McClung,LAL,Los Angeles Lakers,4,NA,0.621,NA,2,NA,430,Other,5.25,80,64,Other,412
Santi Aldama,MEM,Memphis Grizzlies,4.1,NA,0.452,NA,32,NA,426,Other,5.25,50,34,Other,415
Trevor Ariza,LAL,Los Angeles Lakers,4,NA,0.449,NA,24,NA,433,Other,5.25,58,42,Other,417
Trey Burke,DAL,Dallas Mavericks,5.1,3.2,0.475,0.649,42,10,380,Other,5.25,40,24,Other,416
Jericho Sims,NYK,New York Knicks,2.2,NA,0.674,NA,41,NA,520,Other,5.18,41,25,Other,418
Kira Lewis,NOP,New Orleans Pelicans,5.9,NA,0.466,NA,24,NA,346,Other,5.18,58,42,Other,420
Maurice Harkless,SAC,Sacramento Kings,4.6,NA,0.561,NA,47,NA,397,Other,5.18,35,19,Other,419
Usman Garuba,HOU,Houston Rockets,2,NA,0.51,NA,24,NA,535,Other,5.18,58,42,Other,421
Anthony Gill,WAS,Washington Wizards,4.1,NA,0.682,NA,44,NA,422,Other,5.1,38,22,Other,423
Vlatko Cancar,DEN,Denver Nuggets,4.1,2.5,0.657,0.833,15,2,423,Other,5.1,67,51,Other,422
Brad Wanamaker,WAS,Washington Wizards,3.6,NA,0.472,NA,23,NA,453,Other,5.03,59,43,Other,425
Devontae Cacok,SAS,San Antonio Spurs,3.1,NA,0.675,NA,15,NA,476,Other,5.03,67,51,Other,424
Paul Millsap,PHI,Philadelphia 76ers,3.5,0,0.458,NA,33,1,455,Other,5.03,49,33,Other,426
D.J. Augustin,LAL,Los Angeles Lakers,5.3,NA,0.61,NA,55,NA,376,Other,4.99,27,11,Other,427
Paul Reed,PHI,Philadelphia 76ers,3.1,3.7,0.568,0.563,38,12,477,Other,4.95,44,28,Other,428
Tyler Johnson,SAS,San Antonio Spurs,2.8,NA,0.425,NA,6,NA,496,Other,4.95,76,60,Other,429
KZ Okpala,MIA,Miami Heat,3.7,NA,0.521,NA,21,NA,447,Other,4.88,61,45,Other,431
Matt Ryan,BOS,Boston Celtics,3,NA,0.3,NA,1,NA,487,Other,4.88,81,65,Other,433
Svi Mykhailiuk,TOR,Toronto Raptors,4.6,0.3,0.509,0.205,56,3,396,Other,4.88,26,10,Other,430
Tre Scott,CLE,Cleveland Cavaliers,3,NA,0.5,NA,2,NA,484,Other,4.88,80,64,Other,432
James Ennis,DEN,Denver Nuggets,4.1,NA,0.553,NA,7,NA,427,Other,4.8,75,59,Other,436
Jamorko Pickett,DET,Detroit Pistons,3.8,NA,0.491,NA,13,NA,441,Other,4.8,69,53,Other,435
Jared Butler,UTA,Utah Jazz,3.8,0,0.509,0,42,1,440,Other,4.8,40,24,Other,434
Yuta Watanabe,TOR,Toronto Raptors,4.3,1,0.524,0.333,38,4,410,Other,4.8,44,28,Other,437
Elfrid Payton,PHX,Phoenix Suns,3,2,0.397,0.667,50,2,485,Other,4.73,32,16,Other,439
Sterling Brown,DAL,Dallas Mavericks,3.3,1.2,0.495,0.42,49,9,466,Other,4.73,33,17,Other,438
Trevelin Queen,HOU,Houston Rockets,4.3,NA,0.619,NA,10,NA,415,Other,4.73,72,56,Other,440
Timothe Luwawu-Cabarrot,ATL,Atlanta Hawks,4.4,1.3,0.556,0.625,52,4,408,Other,4.65,30,14,Other,441
Miles McBride,NYK,New York Knicks,2.2,NA,0.393,NA,40,NA,518,Other,4.58,42,26,Other,442
Nathan Knight,MIN,Minnesota Timberwolves,3.7,NA,0.603,NA,37,NA,449,Other,4.58,45,29,Other,443
Jabari Parker,BOS,Boston Celtics,4.4,NA,0.632,NA,12,NA,407,Other,4.43,70,54,Other,444
Matt Thomas,CHI,Chicago Bulls,3.9,NA,0.564,NA,41,NA,437,Other,4.43,41,25,Other,445
Jarrett Culver,MEM,Memphis Grizzlies,3.5,2.3,0.433,0.322,37,3,459,Other,4.35,45,29,Other,449
Juancho Hernangomez,UTA,Utah Jazz,3.3,2.3,0.542,0.389,40,6,470,Other,4.35,42,26,Other,446
Moses Brown,CLE,Cleveland Cavaliers,4.3,NA,0.612,NA,40,NA,411,Other,4.35,42,26,Other,448
Moses Moody,GSW,Golden State Warriors,4.4,3.2,0.573,0.669,52,13,406,Other,4.35,30,14,Other,447
Isaiah Joe,PHI,Philadelphia 76ers,3.6,0.7,0.519,0.5,55,7,451,Other,4.29,27,11,Other,450
Charles Bassey,PHI,Philadelphia 76ers,3,0.7,0.66,0.41,23,3,483,Other,4.28,59,43,Other,452
Gorgui Dieng,ATL,Atlanta Hawks,3.5,1.5,0.624,0.615,44,2,457,Other,4.28,38,22,Other,451
James Bouknight,CHA,Charlotte Hornets,4.6,NA,0.459,NA,31,NA,398,Other,4.28,51,35,Other,454
Tremont Waters,WAS,Washington Wizards,3.3,NA,0.357,NA,3,NA,464,Other,4.28,79,63,Other,453
Boban Marjanovic,DAL,Dallas Mavericks,4.5,1.3,0.615,0.41,22,3,401,Other,4.2,60,44,Other,457
Greg Brown,POR,Portland Trail Blazers,4.7,NA,0.517,NA,48,NA,393,Other,4.2,34,18,Other,455
Louis King,SAC,Sacramento Kings,4.5,NA,0.438,NA,10,NA,402,Other,4.2,72,56,Other,456
