player,team,full_team,season_avg_ppg,playoffs_avg_ppg,season_ts_percent,playoffs_ts_percent,games_played,playoffs_games_played,ppg_rank,top20_scorers,player_mvp_calc_adj,games_missed,penalized_games_missed,top5_candidates,mvp_rank
Tyrese Maxey,PHI,Philadelphia 76ers,17.5,20.8,0.594,0.61,75,12,58,Other,27.5,7,0,Other,42
Tobias Harris,PHI,Philadelphia 76ers,17.2,16.9,0.566,0.591,73,12,62,Other,27.1,9,0,Other,43
Jaren Jackson,MEM,Memphis Grizzlies,16.3,15.4,0.535,0.516,78,12,74,Other,27,4,0,Other,44
Jonas Valanciunas,NOP,New Orleans Pelicans,17.8,14.5,0.617,0.548,74,6,56,Other,26.9,8,0,Other,45
Jordan Poole,GSW,Golden State Warriors,18.5,17,0.598,0.654,76,22,47,Other,26.8,6,0,Other,47
Shai Gilgeous-Alexander,OKC,Oklahoma City Thunder,24.5,NA,0.558,NA,56,NA,16,Top 20 Scorers,26.8,26,10,Other,46
Anthony Davis,LAL,Los Angeles Lakers,23.2,NA,0.578,NA,40,NA,21,Other,26.63,42,26,Other,48
Gary Trent,TOR,Toronto Raptors,18.3,15.3,0.546,0.509,70,6,51,Other,26.5,12,0,Other,49
Marcus Smart,BOS,Boston Celtics,12.1,15.4,0.541,0.529,71,21,130,Other,26.5,11,0,Other,50
De'Aaron Fox,SAC,Sacramento Kings,23.2,NA,0.549,NA,59,NA,22,Other,26.4,23,7,Other,51
Jalen Brunson,DAL,Dallas Mavericks,16.3,21.6,0.583,0.553,79,18,72,Other,26.2,3,0,Other,53
Mike Conley,UTA,Utah Jazz,13.7,9.2,0.572,0.432,72,6,105,Other,26.2,10,0,Other,52
Kyle Lowry,MIA,Miami Heat,13.4,7.8,0.6,0.413,63,10,112,Other,25.94,19,3,Other,54
Bam Adebayo,MIA,Miami Heat,19.1,14.8,0.608,0.638,56,18,43,Other,25.84,26,10,Other,55
Brandon Ingram,NOP,New Orleans Pelicans,22.7,27,0.554,0.584,55,6,25,Other,25.82,27,11,Other,56
Andrew Wiggins,GSW,Golden State Warriors,17.2,16.5,0.56,0.544,73,22,65,Other,25.7,9,0,Other,57
Evan Mobley,CLE,Cleveland Cavaliers,15,NA,0.549,NA,69,NA,89,Other,25.6,13,0,Other,58
Damian Lillard,POR,Portland Trail Blazers,24,NA,0.55,NA,29,NA,19,Top 20 Scorers,25.58,53,37,Other,59
Jakob Poeltl,SAS,San Antonio Spurs,13.5,NA,0.613,NA,68,NA,109,Other,25.5,14,0,Other,61
